replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,100,2.6971,1.2531918750e+05,5.7105781555e+01,4.7588150483e-04,,9.9946063757e-01
2,101,2.1844,1.2531944531e+05,5.8359443665e+01,4.8632867401e-04,,9.9942404032e-01
3,102,2.1847,1.2531917969e+05,5.9325405121e+01,4.9437838607e-04,,9.9940896034e-01
