step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,1.2531927083e+05,1.2341662095e-01,5.0980178593e+00,4.2770069208e-07,1.0443272591e+00,1.0115243643e-06,6.4638142164e-03,2.5188541086e-03,1.2531918750e+05,1.2531944531e+05,1.2531917969e+05,1.0443265438e+00,1.0443286896e+00,1.0443265438e+00,9.9878143519e-03,5.1523763686e-03,4.2512519285e-03
5,1.7586109896e+05,8.1646356082e+02,5.2451651106e+00,2.0136050386e-03,1.4655091763e+00,6.8039049487e-03,1.3174013297e-01,4.3735770710e-04,1.7509179688e+05,1.7550006250e+05,1.7699143750e+05,1.4590983391e+00,1.4625004530e+00,1.4749287367e+00,1.3226100802e-01,1.3119083643e-01,1.3176855445e-01
10,1.2783835677e+05,1.4422884731e+03,5.1066333904e+00,4.9195825981e-03,1.0653196176e+00,1.2019081537e-02,2.4081955353e-01,3.7394492838e-03,1.2881933594e+05,1.2579914062e+05,1.2889659375e+05,1.0734944344e+00,1.0483261347e+00,1.0741382837e+00,2.4104481936e-01,2.4528263509e-01,2.3613120615e-01
15,9.8429770833e+04,4.6719490454e+01,4.9931264250e+00,2.0616254593e-04,8.2024808725e-01,3.8932797146e-04,3.3223283291e-01,3.3991798202e-03,9.8447820312e+04,9.8365703125e+04,9.8475789062e+04,8.2039850950e-01,8.1971418858e-01,8.2063156366e-01,3.3551397920e-01,3.3363482356e-01,3.2754969597e-01
20,7.8973755208e+04,1.5973560936e+02,4.8974819012e+00,8.7820386252e-04,6.5811461210e-01,1.3311555133e-03,4.1339188814e-01,5.3668858415e-03,7.8946843750e+04,7.9181453125e+04,7.8792968750e+04,6.5789031982e-01,6.5984547138e-01,6.5660804510e-01,4.1747233272e-01,4.1689401865e-01,4.0580931306e-01
25,6.5312964844e+04,7.6781186075e+01,4.8149990988e+00,5.1034565506e-04,5.4427472750e-01,6.3985785095e-04,4.7762644291e-01,6.3860848533e-03,6.5266175781e+04,6.5421218750e+04,6.5251500000e+04,5.4388481379e-01,5.4517686367e-01,5.4376250505e-01,4.8223543167e-01,4.8204809427e-01,4.6859580278e-01
30,5.5612959635e+04,7.8083831910e+02,4.7451329641e+00,6.1229157610e-03,4.6344134212e-01,6.5069956450e-03,5.2911339204e-01,2.8085036255e-03,5.5955121094e+04,5.6351140625e+04,5.4532617188e+04,4.6629267931e-01,4.6959286928e-01,4.5443847775e-01,5.3177642822e-01,5.3033387661e-01,5.2522987127e-01
35,4.8265113281e+04,9.2885791736e+02,4.6835526469e+00,8.3781096140e-03,4.0220927199e-01,7.7404966568e-03,5.7358652353e-01,4.2151949668e-03,4.8409257812e+04,4.9323785156e+04,4.7062296875e+04,4.0341049433e-01,4.1103154421e-01,3.9218577743e-01,5.7812839746e-01,5.7465928793e-01,5.6797188520e-01
40,4.2237503906e+04,1.0272421240e+03,4.6255702066e+00,1.0537448209e-02,3.5197919607e-01,8.5603497230e-03,6.1131002506e-01,6.5351738814e-03,4.2084234375e+04,4.3565226562e+04,4.1063050781e+04,3.5070195794e-01,3.6304354668e-01,3.4219208360e-01,6.1931252480e-01,6.1131286621e-01,6.0330468416e-01
45,3.7330880208e+04,1.0277513365e+03,4.5719056864e+00,1.1844660160e-02,3.1109065811e-01,8.5645858349e-03,6.4465989669e-01,7.1723614291e-03,3.6622699219e+04,3.8784183594e+04,3.6585757812e+04,3.0518916249e-01,3.2320150733e-01,3.0488130450e-01,6.5402442217e-01,6.4335304499e-01,6.3660222292e-01
