step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0028591156e+02,0.0000000000e+00,2.0012399264e+00,0.0000000000e+00,1.0028591156e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0028591156e+02,1.0028591156e+00,-3.0342309401e-05
100,3.5093326569e+01,0.0000000000e+00,1.5452245378e+00,0.0000000000e+00,3.5093325377e-01,0.0000000000e+00,7.3684595525e-02,0.0000000000e+00,3.5093326569e+01,3.5093325377e-01,7.3684595525e-02
200,1.3274991035e+01,0.0000000000e+00,1.1230342365e+00,0.0000000000e+00,1.3274991512e-01,0.0000000000e+00,9.5364041626e-02,0.0000000000e+00,1.3274991035e+01,1.3274991512e-01,9.5364041626e-02
300,6.6229624748e+00,0.0000000000e+00,8.2105229438e-01,0.0000000000e+00,6.6229626536e-02,0.0000000000e+00,1.0574372858e-01,0.0000000000e+00,6.6229624748e+00,6.6229626536e-02,1.0574372858e-01
400,3.8254611492e+00,0.0000000000e+00,5.8268379570e-01,0.0000000000e+00,3.8254611194e-02,0.0000000000e+00,1.1143042147e-01,0.0000000000e+00,3.8254611492e+00,3.8254611194e-02,1.1143042147e-01
500,2.3938863277e+00,0.0000000000e+00,3.7910352435e-01,0.0000000000e+00,2.3938862607e-02,0.0000000000e+00,1.1537432671e-01,0.0000000000e+00,2.3938863277e+00,2.3938862607e-02,1.1537432671e-01
600,1.5731889009e+00,0.0000000000e+00,1.9678087374e-01,0.0000000000e+00,1.5731889755e-02,0.0000000000e+00,1.1801737547e-01,0.0000000000e+00,1.5731889009e+00,1.5731889755e-02,1.1801737547e-01
700,1.0733858347e+00,0.0000000000e+00,3.0755859672e-02,0.0000000000e+00,1.0733857751e-02,0.0000000000e+00,1.2005404383e-01,0.0000000000e+00,1.0733858347e+00,1.0733857751e-02,1.2005404383e-01
800,7.5310063362e-01,0.0000000000e+00,-1.2314698700e-01,0.0000000000e+00,7.5310058892e-03,0.0000000000e+00,1.2167762220e-01,0.0000000000e+00,7.5310063362e-01,7.5310058892e-03,1.2167762220e-01
900,5.4226022959e-01,0.0000000000e+00,-2.6579224639e-01,0.0000000000e+00,5.4226024076e-03,0.0000000000e+00,1.2291793525e-01,0.0000000000e+00,5.4226022959e-01,5.4226024076e-03,1.2291793525e-01
1000,3.9619070292e-01,0.0000000000e+00,-4.0209571991e-01,0.0000000000e+00,3.9619072340e-03,0.0000000000e+00,1.2395857275e-01,0.0000000000e+00,3.9619070292e-01,3.9619072340e-03,1.2395857275e-01
