alpha,cosine_similarity_mean,cosine_similarity_std,Loss_mean,Loss_std,Steps_mean,cosine_similarity_replica_0,loss_replica_0,cosine_similarity_replica_1,loss_replica_1,cosine_similarity_replica_2,loss_replica_2,cosine_similarity_replica_3,loss_replica_3,cosine_similarity_replica_4,loss_replica_4,cosine_similarity_replica_5,loss_replica_5,cosine_similarity_replica_6,loss_replica_6,cosine_similarity_replica_7,loss_replica_7,cosine_similarity_replica_8,loss_replica_8,cosine_similarity_replica_9,loss_replica_9
0.0,0.000890371146670077,0.0010982616245595119,2.9740439928468975e-12,1.3818075797184824e-13,101.0,0.0009772866033017635,3.136185755536758e-12,0.002183816861361265,2.7858923935114577e-12,-0.0014017503708600998,2.8056547970306545e-12,0.0006713844486512244,3.052302117653727e-12,0.0007505178218707442,3.099605641598835e-12,0.0001501038350397721,3.080634055144249e-12,0.0029396023601293564,3.0167363832683813e-12,0.0013332273811101913,2.790266065075264e-12,0.0006676851771771908,2.860624064016104e-12,0.0006318373489193618,3.1125386556335455e-12
0.2,0.02049266528338194,0.0009858146161673901,8.448434891761281e-06,1.9884967339031125e-06,1186.0,0.02074030600488186,6.782037871744251e-06,0.021279141306877136,7.320816166611621e-06,0.01829066500067711,6.845913958386518e-06,0.020811140537261963,1.1978238944720943e-05,0.020299097523093224,7.014717994024977e-06,0.02122746780514717,7.634225767105818e-06,0.02185705304145813,7.384565378742991e-06,0.020835716277360916,1.1092815839219838e-05,0.01926739513874054,1.1270422874076758e-05,0.020318670198321342,7.1605941229790915e-06
0.4,0.04189329743385315,0.0007332214087201554,3.995961087639443e-05,2.242596858763376e-06,3041.0,0.04213063418865204,3.997302701463923e-05,0.04247231408953667,3.8164216675795615e-05,0.04015672951936722,3.8519348890986294e-05,0.04147743433713913,4.084127795067616e-05,0.04170938953757286,4.458743933355436e-05,0.04296736791729927,3.813942021224648e-05,0.04202759265899658,3.8436486647697166e-05,0.04257609322667122,3.867391205858439e-05,0.041541341692209244,3.860340075334534e-05,0.041874077171087265,4.365757922641933e-05
0.6000000000000001,0.06509530246257782,0.0010479463701807347,0.00011942808923777193,4.71589772519851e-06,6000.0,0.06560825556516647,0.00012820494885090739,0.06642790138721466,0.00012594647705554962,0.06277289241552353,0.00011506102600833401,0.06475948542356491,0.00011976365931332111,0.06484951078891754,0.00011317958706058562,0.0659589022397995,0.00011800125503214076,0.06437810510396957,0.00011511414777487516,0.0665062740445137,0.00012354071077425033,0.06486493349075317,0.00011855637421831489,0.06482676416635513,0.0001169127062894404
0.8,0.09195340052247047,0.0015418179650647415,0.022744976729154587,0.0005166117428348012,6000.0,0.09371361881494522,0.022545991465449333,0.09155420958995819,0.02303078956902027,0.08870537579059601,0.023175129666924477,0.0919172540307045,0.022950753569602966,0.091936394572258,0.02181895449757576,0.09161781519651413,0.02204882726073265,0.091265469789505,0.02336866222321987,0.09497525542974472,0.022770928218960762,0.09227350354194641,0.022342028096318245,0.09157510846853256,0.02339770272374153
1.0,0.12231696173548698,0.001641136829496316,0.28777638971805575,0.007614118359844262,6000.0,0.1245591789484024,0.28914380073547363,0.12197303771972656,0.2926015257835388,0.12001170963048935,0.28900471329689026,0.12065579742193222,0.29074397683143616,0.1230393573641777,0.2826158404350281,0.1206091120839119,0.28615331649780273,0.12155664712190628,0.28723815083503723,0.12495692074298859,0.2754221558570862,0.12391355633735657,0.2797915041446686,0.12189429998397827,0.3050489127635956
1.2000000000000002,0.15640248358249664,0.0025160097685686775,1.1360555768013,0.014784822995638077,6000.0,0.16037671267986298,1.148505449295044,0.15518957376480103,1.150469183921814,0.15394249558448792,1.1269006729125977,0.15407057106494904,1.1465474367141724,0.15733708441257477,1.1244477033615112,0.15499091148376465,1.1398102045059204,0.15430636703968048,1.1189384460449219,0.16159634292125702,1.1174869537353516,0.15637005865573883,1.1246854066848755,0.15584471821784973,1.162764310836792
1.4000000000000001,0.19288743585348128,0.002797930473623577,2.6196338891983033,0.030384122561515212,6000.0,0.1961543709039688,2.623074769973755,0.1910051852464676,2.624843120574951,0.18986229598522186,2.5804872512817383,0.1892726868391037,2.653130054473877,0.19428576529026031,2.5975403785705566,0.1926630735397339,2.6243350505828857,0.1914278268814087,2.6411638259887695,0.19893789291381836,2.5587668418884277,0.19333139061927795,2.6320676803588867,0.19193387031555176,2.6609299182891846
1.6,0.23170894533395767,0.003092722335744568,4.520057201385498,0.04466781771862875,6000.0,0.23261401057243347,4.520190238952637,0.22838029265403748,4.541660785675049,0.22950971126556396,4.5362324714660645,0.2292601615190506,4.592801570892334,0.23463894426822662,4.510913848876953,0.23032255470752716,4.583898544311523,0.22991371154785156,4.497086048126221,0.23910804092884064,4.440300941467285,0.233160600066185,4.467262268066406,0.23018142580986023,4.510225296020508
1.8,0.27422545850276947,0.003186159382286538,6.635691118240357,0.03697123414551066,6000.0,0.2750180959701538,6.64211368560791,0.26980262994766235,6.678614616394043,0.2739139497280121,6.627649784088135,0.27249589562416077,6.644564628601074,0.27770110964775085,6.611620903015137,0.2709023654460907,6.684706211090088,0.27454403042793274,6.651645660400391,0.28135591745376587,6.548696517944336,0.27433428168296814,6.613292217254639,0.2721863090991974,6.6540069580078125
