step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,cosine_similarity_replica_1
1,2.0004820824e+00,0.0000000000e+00,3.0113466591e-01,0.0000000000e+00,3.2175105298e-04,0.0000000000e+00,2.0004820824e+00,3.2175105298e-04
2,2.0004820824e+00,0.0000000000e+00,3.0113466591e-01,0.0000000000e+00,3.2175210072e-04,0.0000000000e+00,2.0004820824e+00,3.2175210072e-04
3,2.0004820824e+00,0.0000000000e+00,3.0113466591e-01,0.0000000000e+00,3.2175367232e-04,0.0000000000e+00,2.0004820824e+00,3.2175367232e-04
4,2.0004825592e+00,0.0000000000e+00,3.0113476942e-01,0.0000000000e+00,3.2175506931e-04,0.0000000000e+00,2.0004825592e+00,3.2175506931e-04
5,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175602973e-04,0.0000000000e+00,2.0004823208e+00,3.2175602973e-04
6,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175672823e-04,0.0000000000e+00,2.0004823208e+00,3.2175672823e-04
7,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175716478e-04,0.0000000000e+00,2.0004823208e+00,3.2175716478e-04
8,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175751403e-04,0.0000000000e+00,2.0004823208e+00,3.2175751403e-04
9,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175763045e-04,0.0000000000e+00,2.0004823208e+00,3.2175763045e-04
10,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175789238e-04,0.0000000000e+00,2.0004823208e+00,3.2175789238e-04
11,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175832894e-04,0.0000000000e+00,2.0004823208e+00,3.2175832894e-04
12,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175864908e-04,0.0000000000e+00,2.0004823208e+00,3.2175864908e-04
13,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175891101e-04,0.0000000000e+00,2.0004823208e+00,3.2175891101e-04
14,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175923116e-04,0.0000000000e+00,2.0004823208e+00,3.2175923116e-04
15,2.0004820824e+00,0.0000000000e+00,3.0113466591e-01,0.0000000000e+00,3.2175937667e-04,0.0000000000e+00,2.0004820824e+00,3.2175937667e-04
16,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175972592e-04,0.0000000000e+00,2.0004823208e+00,3.2175972592e-04
17,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2175992965e-04,0.0000000000e+00,2.0004823208e+00,3.2175992965e-04
18,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176019158e-04,0.0000000000e+00,2.0004823208e+00,3.2176019158e-04
19,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176051172e-04,0.0000000000e+00,2.0004823208e+00,3.2176051172e-04
20,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176080276e-04,0.0000000000e+00,2.0004823208e+00,3.2176080276e-04
21,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176091918e-04,0.0000000000e+00,2.0004823208e+00,3.2176091918e-04
22,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176115201e-04,0.0000000000e+00,2.0004823208e+00,3.2176115201e-04
23,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176121022e-04,0.0000000000e+00,2.0004823208e+00,3.2176121022e-04
24,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176138484e-04,0.0000000000e+00,2.0004823208e+00,3.2176138484e-04
25,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176144305e-04,0.0000000000e+00,2.0004823208e+00,3.2176144305e-04
26,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176144305e-04,0.0000000000e+00,2.0004823208e+00,3.2176144305e-04
27,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176150125e-04,0.0000000000e+00,2.0004823208e+00,3.2176150125e-04
28,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176153036e-04,0.0000000000e+00,2.0004823208e+00,3.2176153036e-04
29,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176161767e-04,0.0000000000e+00,2.0004823208e+00,3.2176161767e-04
30,2.0004823208e+00,0.0000000000e+00,3.0113471766e-01,0.0000000000e+00,3.2176155946e-04,0.0000000000e+00,2.0004823208e+00,3.2176155946e-04
