step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
21,1.7363540246e+01,0.0000000000e+00,1.2396382780e+00,0.0000000000e+00,1.7363599909e+01,0.0000000000e+00,1.2396397703e+00,0.0000000000e+00,9.9992376566e-01,0.0000000000e+00,1.7363540246e+01,1.7363599909e+01,9.9992376566e-01
22,2.1341680258e+01,0.0000000000e+00,1.3292286090e+00,0.0000000000e+00,2.1341751562e+01,0.0000000000e+00,1.3292300600e+00,0.0000000000e+00,9.9990725517e-01,0.0000000000e+00,2.1341680258e+01,2.1341751562e+01,9.9990725517e-01
23,2.6156712556e+01,0.0000000000e+00,1.4175831598e+00,0.0000000000e+00,2.6156796957e+01,0.0000000000e+00,1.4175845612e+00,0.0000000000e+00,9.9988782406e-01,0.0000000000e+00,2.6156712556e+01,2.6156796957e+01,9.9988782406e-01
24,3.2019225182e+01,0.0000000000e+00,1.5054108184e+00,0.0000000000e+00,3.2019324135e+01,0.0000000000e+00,1.5054121606e+00,0.0000000000e+00,9.9986481667e-01,0.0000000000e+00,3.2019225182e+01,3.2019324135e+01,9.9986481667e-01
25,3.9211558760e+01,0.0000000000e+00,1.5934141070e+00,0.0000000000e+00,3.9211669355e+01,0.0000000000e+00,1.5934153319e+00,0.0000000000e+00,9.9983793497e-01,0.0000000000e+00,3.9211558760e+01,3.9211669355e+01,9.9983793497e-01
26,4.8115890240e+01,0.0000000000e+00,1.6822885255e+00,0.0000000000e+00,4.8116027028e+01,0.0000000000e+00,1.6822897602e+00,0.0000000000e+00,9.9980622530e-01,0.0000000000e+00,4.8115890240e+01,4.8116027028e+01,9.9980622530e-01
27,5.9251138009e+01,0.0000000000e+00,1.7726966961e+00,0.0000000000e+00,5.9251295170e+01,0.0000000000e+00,1.7726978480e+00,0.0000000000e+00,9.9976837635e-01,0.0000000000e+00,5.9251138009e+01,5.9251295170e+01,9.9976837635e-01
28,7.3318497743e+01,0.0000000000e+00,1.8652135579e+00,0.0000000000e+00,7.3318678187e+01,0.0000000000e+00,1.8652146268e+00,0.0000000000e+00,9.9972313643e-01,0.0000000000e+00,7.3318497743e+01,7.3318678187e+01,9.9972313643e-01
29,9.1262260685e+01,0.0000000000e+00,1.9602912226e+00,0.0000000000e+00,9.1262464412e+01,0.0000000000e+00,1.9602921921e+00,0.0000000000e+00,9.9966853857e-01,0.0000000000e+00,9.1262260685e+01,9.1262464412e+01,9.9966853857e-01
30,1.1434757616e+02,0.0000000000e+00,2.0582269633e+00,0.0000000000e+00,1.1434783228e+02,0.0000000000e+00,2.0582279360e+00,0.0000000000e+00,9.9960190058e-01,0.0000000000e+00,1.1434757616e+02,1.1434783228e+02,9.9960190058e-01
31,1.4425589470e+02,0.0000000000e+00,2.1591335687e+00,0.0000000000e+00,1.4425619738e+02,0.0000000000e+00,2.1591344799e+00,0.0000000000e+00,9.9952000380e-01,0.0000000000e+00,1.4425589470e+02,1.4425619738e+02,9.9952000380e-01
32,1.8320281524e+02,0.0000000000e+00,2.2629321431e+00,0.0000000000e+00,1.8320315285e+02,0.0000000000e+00,2.2629329434e+00,0.0000000000e+00,9.9941790104e-01,0.0000000000e+00,1.8320281524e+02,1.8320315285e+02,9.9941790104e-01
33,2.3407859262e+02,0.0000000000e+00,2.3693616976e+00,0.0000000000e+00,2.3407898843e+02,0.0000000000e+00,2.3693624320e+00,0.0000000000e+00,9.9929028749e-01,0.0000000000e+00,2.3407859262e+02,2.3407898843e+02,9.9929028749e-01
34,3.0061835423e+02,0.0000000000e+00,2.4780154929e+00,0.0000000000e+00,3.0061884318e+02,0.0000000000e+00,2.4780161992e+00,0.0000000000e+00,9.9912953377e-01,0.0000000000e+00,3.0061835423e+02,3.0061884318e+02,9.9912953377e-01
35,3.8758984301e+02,0.0000000000e+00,2.5883723876e+00,0.0000000000e+00,3.8759035524e+02,0.0000000000e+00,2.5883729616e+00,0.0000000000e+00,9.9892568588e-01,0.0000000000e+00,3.8758984301e+02,3.8759035524e+02,9.9892568588e-01
36,5.0101727247e+02,0.0000000000e+00,2.6998526983e+00,0.0000000000e+00,5.0101787783e+02,0.0000000000e+00,2.6998532231e+00,0.0000000000e+00,9.9866646528e-01,0.0000000000e+00,5.0101727247e+02,5.0101787783e+02,9.9866646528e-01
37,6.4840442501e+02,0.0000000000e+00,2.8118459700e+00,0.0000000000e+00,6.4840517007e+02,0.0000000000e+00,2.8118464690e+00,0.0000000000e+00,9.9833673239e-01,0.0000000000e+00,6.4840442501e+02,6.4840517007e+02,9.9833673239e-01
38,8.3898538724e+02,0.0000000000e+00,2.9237543967e+00,0.0000000000e+00,8.3898622543e+02,0.0000000000e+00,2.9237548306e+00,0.0000000000e+00,9.9791699648e-01,0.0000000000e+00,8.3898538724e+02,8.3898622543e+02,9.9791699648e-01
39,1.0839672759e+03,0.0000000000e+00,3.0350161714e+00,0.0000000000e+00,1.0839681141e+03,0.0000000000e+00,3.0350165072e+00,0.0000000000e+00,9.9738401175e-01,0.0000000000e+00,1.0839672759e+03,1.0839681141e+03,9.9738401175e-01
40,1.3967291452e+03,0.0000000000e+00,3.1451121956e+00,0.0000000000e+00,1.3967302628e+03,0.0000000000e+00,3.1451125431e+00,0.0000000000e+00,9.9670946598e-01,0.0000000000e+00,1.3967291452e+03,1.3967302628e+03,9.9670946598e-01
41,1.7930001020e+03,0.0000000000e+00,3.2535803143e+00,0.0000000000e+00,1.7930012196e+03,0.0000000000e+00,3.2535805850e+00,0.0000000000e+00,9.9585920572e-01,0.0000000000e+00,1.7930001020e+03,1.7930012196e+03,9.9585920572e-01
42,2.2909365594e+03,0.0000000000e+00,3.3600130629e+00,0.0000000000e+00,2.2909380496e+03,0.0000000000e+00,3.3600133454e+00,0.0000000000e+00,9.9479383230e-01,0.0000000000e+00,2.2909365594e+03,2.2909380496e+03,9.9479383230e-01
43,2.9110752046e+03,0.0000000000e+00,3.4640534251e+00,0.0000000000e+00,2.9110766947e+03,0.0000000000e+00,3.4640536474e+00,0.0000000000e+00,9.9346750975e-01,0.0000000000e+00,2.9110752046e+03,2.9110766947e+03,9.9346750975e-01
