step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,4.7981060982e+06,4.5879594066e+03,6.6810696486e+00,4.1523515182e-04,-1.8158132055e-05,6.8306748375e-04,4.8040002823e+06,4.7928099632e+06,4.7975080490e+06,-8.1955268979e-04,8.4965460701e-04,-8.4576313384e-05
2,4.7981060982e+06,4.5879594066e+03,6.6810696486e+00,4.1523515182e-04,-1.7989106709e-05,6.8306568185e-04,4.8040002823e+06,4.7928099632e+06,4.7975080490e+06,-8.1937899813e-04,8.4982335102e-04,-8.4411673015e-05
3,4.7980951309e+06,4.5877019435e+03,6.6810686559e+00,4.1521282295e-04,-1.6985412609e-05,6.8305544382e-04,4.8039888382e+06,4.7927990913e+06,4.7974974632e+06,-8.1835751189e-04,8.5081858560e-04,-8.3417311544e-05
4,4.7980549812e+06,4.5877143696e+03,6.6810650218e+00,4.1521740977e-04,-1.3979942499e-05,6.8302379548e-04,4.8039487839e+06,4.7927590370e+06,4.7974571228e+06,-8.1530172611e-04,8.5379421944e-04,-8.0432320829e-05
5,4.7979590416e+06,4.5874196678e+03,6.6810563378e+00,4.1519909858e-04,-7.3092936267e-06,6.8295356731e-04,4.8038520813e+06,4.7926629066e+06,4.7973621368e+06,-8.0852559768e-04,8.6039380403e-04,-7.3796087236e-05
6,4.7977729797e+06,4.5869668589e+03,6.6810394958e+00,4.1517420247e-04,5.1900836600e-06,6.8281968235e-04,4.8036655426e+06,4.7924775124e+06,4.7971758842e+06,-7.9582876060e-04,8.7275484111e-04,-6.1355829530e-05
7,4.7974545479e+06,4.5857293776e+03,6.6810106704e+00,4.1508981512e-04,2.6172211316e-05,6.8259625907e-04,4.8033451080e+06,4.7921599388e+06,4.7968585968e+06,-7.7452213736e-04,8.9350214694e-04,-4.0463375626e-05
8,4.7969544411e+06,4.5835986831e+03,6.6809653956e+00,4.1494023673e-04,5.8786877465e-05,6.8224728600e-04,4.8028421402e+06,4.7916621208e+06,4.7963590622e+06,-7.4140506331e-04,9.2574651353e-04,-7.9808178270e-06
9,4.7962141037e+06,4.5814556186e+03,6.6808983637e+00,4.1481029306e-04,1.0667403209e-04,6.8173495290e-04,4.8020988464e+06,4.7909239769e+06,4.7956194878e+06,-6.9278298179e-04,9.7308785189e-04,3.9717226173e-05
10,4.7951698303e+06,4.5778550712e+03,6.6808037953e+00,4.1457465983e-04,1.7396453525e-04,6.8101330642e-04,4.8010494232e+06,4.7898831367e+06,4.7945769310e+06,-6.2446214724e-04,1.0396055877e-03,1.0675016529e-04
11,4.7937486649e+06,4.5735321776e+03,6.6806750627e+00,4.1430608512e-04,2.6527811618e-04,6.8003397612e-04,4.7996220589e+06,4.7884660721e+06,4.7931578636e+06,-5.3175434005e-04,1.1298670433e-03,1.9772164524e-04
12,4.7918711662e+06,4.5670790178e+03,6.6805049359e+00,4.1388376080e-04,3.8573593095e-04,6.7874264235e-04,4.7977355003e+06,4.7865949631e+06,4.7912830353e+06,-4.0946179070e-04,1.2489341898e-03,3.1773539376e-04
13,4.7894501686e+06,4.5592181661e+03,6.6802854623e+00,4.1338039765e-04,5.4095830031e-04,6.7707766210e-04,4.7953036308e+06,4.7841819763e+06,4.7888648987e+06,-2.5187799474e-04,1.4023594558e-03,4.7239343985e-04
