step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
85,4.8200421549e+03,4.8302053102e+02,3.6809568947e+00,4.2199955892e-02,4.0167016288e-02,4.0251727398e-03,9.3043770393e-01,4.2149941159e-03,4.5096230469e+03,5.5022177734e+03,4.4482856445e+03,3.7580188364e-02,4.5851815492e-02,3.7069045007e-02,9.3402057886e-01,9.2452055216e-01,9.3277198076e-01
90,4.4025148112e+03,4.5209903424e+02,3.6415048928e+00,4.3199773805e-02,3.6687623709e-02,3.7674909202e-03,9.3579794963e-01,3.9011958868e-03,4.0694145508e+03,5.0416889648e+03,4.0964409180e+03,3.3911790699e-02,4.2014073581e-02,3.4137006849e-02,9.3937420845e-01,9.3037158251e-01,9.3764805794e-01
95,4.0598093262e+03,4.4608372935e+02,3.6059952504e+00,4.6170630023e-02,3.3831743523e-02,3.7173639951e-03,9.4048611323e-01,4.1730385677e-03,3.7075659180e+03,4.6891743164e+03,3.7826877441e+03,3.0896382406e-02,3.9076451212e-02,3.1522396952e-02,9.4457554817e-01,9.3475645781e-01,9.4212633371e-01
100,3.7442434896e+03,4.3345789598e+02,3.5705676862e+00,4.8774937498e-02,3.1202029437e-02,3.6121492366e-03,9.4479672114e-01,4.1755236154e-03,3.3565405273e+03,4.3493046875e+03,3.5268852539e+03,2.7971170843e-02,3.6244206131e-02,2.9390711337e-02,9.4916117191e-01,9.3916976452e-01,9.4605922699e-01
105,3.4662034505e+03,4.3676163728e+02,3.5365296338e+00,5.3228963254e-02,2.8885028635e-02,3.6396799818e-03,9.4850885868e-01,4.3337338601e-03,3.0473808594e+03,4.0687836914e+03,3.2824458008e+03,2.5394842029e-02,3.3906530589e-02,2.7353713289e-02,9.5322996378e-01,9.4276374578e-01,9.4953286648e-01
110,3.2136764323e+03,4.2701495124e+02,3.5032948295e+00,5.6253034251e-02,2.6780637602e-02,3.5584585074e-03,9.5201363166e-01,4.3743723000e-03,2.7898974609e+03,3.7981530762e+03,3.0529787598e+03,2.3249145597e-02,3.1651277095e-02,2.5441490114e-02,9.5692354441e-01,9.4629949331e-01,9.5281785727e-01
115,2.9966681315e+03,4.0411206176e+02,3.4727896897e+00,5.7437678647e-02,2.4972234542e-02,3.3676014720e-03,9.5504935582e-01,4.1841066127e-03,2.5739497070e+03,3.5411064453e+03,2.8749482422e+03,2.1449580789e-02,2.9509222135e-02,2.3957900703e-02,9.5982211828e-01,9.4963383675e-01,9.5569211245e-01
120,2.7882159831e+03,4.0361403241e+02,3.4408917452e+00,6.1650818142e-02,2.3235132918e-02,3.3634511516e-03,9.5788375537e-01,4.3078338192e-03,2.3641818848e+03,3.3311450195e+03,2.6693210449e+03,1.9701514393e-02,2.7759542689e-02,2.2244341671e-02,9.6273767948e-01,9.5226842165e-01,9.5864516497e-01
125,2.6016154785e+03,4.0373234938e+02,3.4101372629e+00,6.6182142201e-02,2.1680129071e-02,3.3644365168e-03,9.6038955450e-01,4.4009944960e-03,2.1723613281e+03,3.1422875977e+03,2.4901975098e+03,1.8103010952e-02,2.6185730472e-02,2.0751645789e-02,9.6543782949e-01,9.5471274853e-01,9.6101808548e-01
130,2.4297562256e+03,3.8304133473e+02,3.3802985349e+00,6.7183628064e-02,2.0247967914e-02,3.1920110261e-03,9.6287552516e-01,4.3218603618e-03,2.0239862061e+03,2.9434370117e+03,2.3218454590e+03,1.6866551712e-02,2.4528641254e-02,1.9348710775e-02,9.6785062551e-01,9.5731323957e-01,9.6346271038e-01
135,2.2732331543e+03,3.8157566847e+02,3.3506886555e+00,7.1415858438e-02,1.8943609670e-02,3.1797975389e-03,9.6517052253e-01,4.3008781812e-03,1.8719650879e+03,2.7863378906e+03,2.1613964844e+03,1.5599709004e-02,2.3219482973e-02,1.8011637032e-02,9.7010701895e-01,9.5962500572e-01,9.6577954292e-01
140,2.1138668620e+03,3.7321052754e+02,3.3185243970e+00,7.4806207624e-02,1.7615557338e-02,3.1100881247e-03,9.6733987331e-01,4.2274707363e-03,1.7298171387e+03,2.6194335938e+03,1.9923498535e+03,1.4415143058e-02,2.1828614175e-02,1.6602914780e-02,9.7205197811e-01,9.6179723740e-01,9.6817040443e-01
145,1.9679420166e+03,3.6769670331e+02,3.2867058077e+00,7.8890385381e-02,1.6399516724e-02,3.0641391235e-03,9.6942647298e-01,4.2951322201e-03,1.5960314941e+03,2.4686403809e+03,1.8391541748e+03,1.3300262392e-02,2.0572002977e-02,1.5326284803e-02,9.7414427996e-01,9.6375411749e-01,9.7038102150e-01
150,1.8282045085e+03,3.5903020999e+02,3.2540237854e+00,8.2353279468e-02,1.5235037853e-02,2.9919180625e-03,9.7144957383e-01,4.3192653115e-03,1.4789907227e+03,2.3220156250e+03,1.6836071777e+03,1.2324923649e-02,1.9350130111e-02,1.4030059800e-02,9.7600829601e-01,9.6564918756e-01,9.7269123793e-01
155,1.7036935221e+03,3.6669819569e+02,3.2219145342e+00,8.9268438837e-02,1.4197446095e-02,3.0558190988e-03,9.7323342164e-01,4.3311364890e-03,1.3709860840e+03,2.2145478516e+03,1.5255466309e+03,1.1424883269e-02,1.8454566598e-02,1.2712888420e-02,9.7768563032e-01,9.6736431122e-01,9.7465032339e-01
160,1.5755747884e+03,3.6775131914e+02,3.1864294073e+00,9.5869114495e-02,1.3129789693e-02,3.0645947522e-03,9.7498875856e-01,4.4919256503e-03,1.2667467041e+03,2.0923842773e+03,1.3675933838e+03,1.0556221940e-02,1.7436536029e-02,1.1396611109e-02,9.7922199965e-01,9.6877020597e-01,9.7697407007e-01
165,1.4532834066e+03,3.7006404777e+02,3.1493686843e+00,1.0379634488e-01,1.2110694312e-02,3.0838669361e-03,9.7673898935e-01,4.5434089672e-03,1.1652476807e+03,1.9757159424e+03,1.2188865967e+03,9.7103966400e-03,1.6464298591e-02,1.0157387704e-02,9.8080712557e-01,9.7039777040e-01,9.7901207209e-01
170,1.3382486979e+03,3.6984694301e+02,3.1113397276e+00,1.1207008001e-01,1.1152072499e-02,3.0820575900e-03,9.7836961349e-01,4.6052726140e-03,1.0702409668e+03,1.8612371826e+03,1.0832679443e+03,8.9186746627e-03,1.5510309488e-02,9.0272333473e-03,9.8224931955e-01,9.7189944983e-01,9.8096007109e-01
175,1.2221884766e+03,3.7422194056e+02,3.0685727959e+00,1.2363891196e-01,1.0184903629e-02,3.1185159093e-03,9.8006490866e-01,4.6192966160e-03,9.6620178223e+02,1.7513254395e+03,9.4903820801e+02,8.0516813323e-03,1.4594377950e-02,7.9086516052e-03,9.8371821642e-01,9.7354817390e-01,9.8292833567e-01
180,1.1160568034e+03,3.7129959373e+02,3.0258014385e+00,1.3411728765e-01,9.3004731461e-03,3.0941631031e-03,9.8157682021e-01,4.6519697952e-03,8.7755975342e+02,1.6404404297e+03,8.3017022705e+02,7.3129977100e-03,1.3670336455e-02,6.9180852734e-03,9.8506265879e-01,9.7500193119e-01,9.8466587067e-01
185,1.0178785197e+03,3.6527712613e+02,2.9822188768e+00,1.4465904225e-01,8.4823208551e-03,3.0439758142e-03,9.8304545879e-01,4.6092614882e-03,7.9501007080e+02,1.5329069824e+03,7.2571850586e+02,6.6250837408e-03,1.2774224393e-02,6.0476544313e-03,9.8626315594e-01,9.7652715445e-01,9.8634606600e-01
190,9.2266900635e+02,3.5411926342e+02,2.9358305417e+00,1.5495211350e-01,7.6889083721e-03,2.9509940468e-03,9.8446549972e-01,4.5359845946e-03,7.1668933105e+02,1.4209814453e+03,6.3033624268e+02,5.9724110179e-03,1.1841512285e-02,5.2528018132e-03,9.8747944832e-01,9.7805446386e-01,9.8786258698e-01
195,8.2979577637e+02,3.3390919497e+02,2.8867548120e+00,1.6280788917e-01,6.9149648771e-03,2.7825763664e-03,9.8581844568e-01,4.3425808344e-03,6.4208752441e+02,1.2989061279e+03,5.4839367676e+02,5.3507294506e-03,1.0824217461e-02,4.5699477196e-03,9.8853474855e-01,9.7969025373e-01,9.8923033476e-01
