replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,4.7694,1.2064207031e+05,5.2984054565e+01,4.4153380441e-04,,9.9949926138e-01
2,1042,4.3776,1.2064215625e+05,5.3011722565e+01,4.4176436495e-04,,9.9950075150e-01
3,2042,4.4267,1.2064297656e+05,5.3103786469e+01,4.4253154192e-04,,9.9949884415e-01
