step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,4.0539229167e+04,4.9444889443e-02,4.6078754865e+00,5.2970052148e-07,1.0134807428e+00,1.2515398461e-06,-8.0198719030e-03,8.9955920155e-03,4.0539160156e+04,4.0539253906e+04,4.0539273438e+04,1.0134789944e+00,1.0134813786e+00,1.0134818554e+00,-3.1363202725e-03,-2.8843749897e-04,-2.0634857938e-02
5,1.2293212891e+04,2.6110956709e+02,4.0895672875e+00,9.2351060026e-03,3.0733033021e-01,6.5277480517e-03,1.5299616754e-01,2.1452935987e-02,1.1966296875e+04,1.2307970703e+04,1.2605371094e+04,2.9915741086e-01,3.0769929290e-01,3.1513428688e-01,1.7888951302e-01,1.5374232829e-01,1.2635666132e-01
10,4.4107783203e+03,1.8628465071e+02,3.6441351166e+00,1.8083883178e-02,1.1026945959e-01,4.6571156627e-03,1.9007787108e-01,2.4772593998e-02,4.2784375000e+03,4.2796738281e+03,4.6742236328e+03,1.0696093738e-01,1.0699184984e-01,1.1685559154e-01,2.2181825340e-01,1.8705031276e-01,1.6136504710e-01
15,2.2184460449e+03,1.0373872525e+02,3.3455834833e+00,2.0003062709e-02,5.5461150904e-02,2.5934703846e-03,2.0700938503e-01,2.5547719602e-02,2.1550605469e+03,2.1355556641e+03,2.3647219238e+03,5.3876511753e-02,5.3388889879e-02,5.9118051082e-02,2.4032457173e-01,2.0245975256e-01,1.7824383080e-01
20,1.2823531901e+03,6.4685797922e+01,3.1074629518e+00,2.1672997793e-02,3.2058829442e-02,1.6171458244e-03,2.1628477673e-01,2.5185073428e-02,1.2600443115e+03,1.2166759033e+03,1.3703393555e+03,3.1501106918e-02,3.0416896567e-02,3.4258484840e-02,2.4927906692e-01,2.1140505373e-01,1.8817020953e-01
25,8.0360575358e+02,3.7538496734e+01,2.9045715339e+00,2.0212148742e-02,2.0090144128e-02,9.3846239224e-04,2.2241010765e-01,2.5094071010e-02,7.9828930664e+02,7.6052001953e+02,8.5200793457e+02,1.9957233220e-02,1.9013000652e-02,2.1300198510e-02,2.5530284643e-01,2.1750147641e-01,1.9442600012e-01
30,5.3340882365e+02,3.1224196722e+01,2.7263152267e+00,2.5445246500e-02,1.3335220205e-02,7.8060492869e-04,2.2642135620e-01,2.4647748144e-02,5.3267785645e+02,4.9553787231e+02,5.7201074219e+02,1.3316946104e-02,1.2388446368e-02,1.4300268143e-02,2.5859674811e-01,2.2194509208e-01,1.9872222841e-01
35,3.6980537923e+02,2.2849321589e+01,2.5671299282e+00,2.7179101716e-02,9.2451348901e-03,5.7123305329e-04,2.2926184038e-01,2.4566859021e-02,3.7530102539e+02,3.3948065186e+02,3.9463446045e+02,9.3825254589e-03,8.4870168939e-03,9.8658623174e-03,2.6151791215e-01,2.2431214154e-01,2.0195546746e-01
40,2.6336344401e+02,1.8033854832e+01,2.4195177514e+00,3.0164538390e-02,6.5840861450e-03,4.5084630841e-04,2.3120951156e-01,2.4463179008e-02,2.6762454224e+02,2.3945648193e+02,2.8300930786e+02,6.6906139255e-03,5.9864120558e-03,7.0752324536e-03,2.6325380802e-01,2.2648085654e-01,2.0389387012e-01
45,1.8881957499e+02,1.4939559374e+01,2.2746542718e+00,3.4989783871e-02,4.7204893393e-03,3.7348881489e-04,2.3278832932e-01,2.4426789733e-02,1.9270349121e+02,1.6889228821e+02,2.0486294556e+02,4.8175873235e-03,4.2223073542e-03,5.1215733401e-03,2.6475444436e-01,2.2814668715e-01,2.0546385646e-01
50,1.3970177968e+02,1.2744883210e+01,2.1433316892e+00,4.0644799250e-02,3.4925444828e-03,3.1862214978e-04,2.3373790582e-01,2.4217880225e-02,1.4395668030e+02,1.2240627289e+02,1.5274238586e+02,3.5989170428e-03,3.0601567123e-03,3.8185596932e-03,2.6544293761e-01,2.2910375893e-01,2.0666702092e-01
