replica,seed,runtime_sec,initial_loss,final_loss,final_mse,estimated_convergence_step,cosine_similarity
1,42,4.7814,4.0539160156e+04,4.0407235891e-10,1.0101808950e-14,550,2.6949191093e-01
2,1042,4.1929,4.0539253906e+04,3.6758818212e-10,9.1897043903e-15,510,2.3519250751e-01
3,2042,4.2295,4.0539273438e+04,3.5452116243e-10,8.8630291935e-15,530,2.1419784427e-01
