step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,3.3486523438e+03,0.0000000000e+00,3.5248700615e+00,0.0000000000e+00,1.6350841522e+00,0.0000000000e+00,7.2193671949e-03,0.0000000000e+00,3.3486523438e+03,1.6350841522e+00,7.2193671949e-03
1,3.3814531250e+03,0.0000000000e+00,3.5291033714e+00,0.0000000000e+00,1.6511001587e+00,0.0000000000e+00,8.1550711766e-03,0.0000000000e+00,3.3814531250e+03,1.6511001587e+00,8.1550711766e-03
2,3.3568903809e+03,0.0000000000e+00,3.5259371596e+00,0.0000000000e+00,1.6391066313e+00,0.0000000000e+00,9.0864691883e-03,0.0000000000e+00,3.3568903809e+03,1.6391066313e+00,9.0864691883e-03
3,3.3325283203e+03,0.0000000000e+00,3.5227738488e+00,0.0000000000e+00,1.6272110939e+00,0.0000000000e+00,1.0015477426e-02,0.0000000000e+00,3.3325283203e+03,1.6272110939e+00,1.0015477426e-02
4,3.3083657227e+03,0.0000000000e+00,3.5196135125e+00,0.0000000000e+00,1.6154129505e+00,0.0000000000e+00,1.0942080058e-02,0.0000000000e+00,3.3083657227e+03,1.6154129505e+00,1.0942080058e-02
