step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
31,5.9577764869e+06,2.9298663139e+03,6.7750841536e+00,2.1357378516e-04,2.7774824994e-03,2.6945432182e-04,5.9607063532e+06,5.9548466206e+06,2.5080281775e-03,3.0469368212e-03
32,5.9525601268e+06,2.9080510139e+03,6.7747037391e+00,2.1216931573e-04,3.1154428143e-03,2.6705791242e-04,5.9554681778e+06,5.9496520758e+06,2.8483849019e-03,3.3825007267e-03
33,5.9468320012e+06,2.8840899467e+03,6.7742856187e+00,2.1062381569e-04,3.4873588011e-03,2.6442063972e-04,5.9497160912e+06,5.9439479113e+06,3.2229381613e-03,3.7517794408e-03
34,5.9405599236e+06,2.8569102287e+03,6.7738273308e+00,2.0885917476e-04,3.8955592318e-03,2.6152806822e-04,5.9434168339e+06,5.9377030134e+06,3.6340311635e-03,4.1570873000e-03
35,5.9337108135e+06,2.8288364410e+03,6.7733263273e+00,2.0704550461e-04,4.3424810283e-03,2.5836145505e-04,5.9365396500e+06,5.9308819771e+06,4.0841195732e-03,4.6008424833e-03
36,5.9262510538e+06,2.7970075607e+03,6.7727799972e+00,2.0497360450e-04,4.8306821845e-03,2.5490345433e-04,5.9290480614e+06,5.9234540462e+06,4.5757787302e-03,5.0855856389e-03
37,5.9181432724e+06,2.7637481689e+03,6.7721854274e+00,2.0281372234e-04,5.3628422320e-03,2.5113718584e-04,5.9209070206e+06,5.9153795242e+06,5.1117050461e-03,5.6139794178e-03
38,5.9093515277e+06,2.7274489403e+03,6.7715397792e+00,2.0044773153e-04,5.9417798184e-03,2.4703983217e-04,5.9120789766e+06,5.9066240788e+06,5.6947399862e-03,6.1888196506e-03
39,5.8998377323e+06,2.6882886887e+03,6.7708400220e+00,1.9788832795e-04,6.5704544540e-03,2.4259346537e-04,5.9025260210e+06,5.8971494436e+06,6.3278609887e-03,6.8130479194e-03
40,5.8895625472e+06,2.6455521584e+03,6.7700829945e+00,1.9508219363e-04,7.2519881651e-03,2.3777782917e-04,5.8922080994e+06,5.8869169950e+06,7.0142103359e-03,7.4897659943e-03
41,5.8784868121e+06,2.6001334190e+03,6.7692655057e+00,1.9209427627e-04,7.9896673560e-03,2.3256707937e-04,5.8810869455e+06,5.8758866787e+06,7.7571002766e-03,8.2222344354e-03
42,5.8665663600e+06,2.5514960289e+03,6.7683839465e+00,1.8888403332e-04,8.7869716808e-03,2.2694095969e-04,5.8691178560e+06,5.8640148640e+06,8.5600307211e-03,9.0139126405e-03
43,5.8537577391e+06,2.4991035461e+03,6.7674347054e+00,1.8541029440e-04,9.6475724131e-03,2.2087153047e-04,5.8562568426e+06,5.8512586355e+06,9.4267008826e-03,9.8684439436e-03
44,5.8400167823e+06,2.4438500404e+03,6.7664140571e+00,1.8173760259e-04,1.0575373191e-02,2.1433318034e-04,5.8424606323e+06,5.8375729322e+06,1.0361040011e-02,1.0789706372e-02
45,5.8252948523e+06,2.3850202560e+03,6.7653178760e+00,1.7781094701e-04,1.1574511416e-02,2.0729936659e-04,5.8276798725e+06,5.8229098320e+06,1.1367212050e-02,1.1781810783e-02
46,5.8095452785e+06,2.3217201233e+03,6.7641421062e+00,1.7356096620e-04,1.2649400160e-02,1.9973795861e-04,5.8118669987e+06,5.8072235584e+06,1.2449662201e-02,1.2849138118e-02
47,5.7927145958e+06,2.2544860840e+03,6.7628820987e+00,1.6902453919e-04,1.3804743532e-02,1.9162008539e-04,5.7949690819e+06,5.7904601097e+06,1.3613123447e-02,1.3996363617e-02
48,5.7747509480e+06,2.1829605103e+03,6.7615332278e+00,1.6417119241e-04,1.5045566950e-02,1.8290663138e-04,5.7769339085e+06,5.7725679874e+06,1.4862660319e-02,1.5228473581e-02
49,5.7555981874e+06,2.1082162857e+03,6.7600904380e+00,1.5907759900e-04,1.6377260908e-02,1.7356872559e-04,5.7577064037e+06,5.7534899712e+06,1.6203692183e-02,1.6550829634e-02
50,5.7351980209e+06,2.0281076431e+03,6.7585483904e+00,1.5357725951e-04,1.7805620097e-02,1.6355980188e-04,5.7372261286e+06,5.7331699133e+06,1.7642060295e-02,1.7969179899e-02
51,5.7134889364e+06,1.9440650940e+03,6.7569013656e+00,1.4777254052e-04,1.9336891361e-02,1.5284400433e-04,5.7154330015e+06,5.7115448713e+06,1.9184047356e-02,1.9489735365e-02
52,5.6904067397e+06,1.8548369408e+03,6.7551432870e+00,1.4156202071e-04,2.0977812819e-02,1.4137569815e-04,5.6922615767e+06,5.6885519028e+06,2.0836437121e-02,2.1119188517e-02
53,5.6658831239e+06,1.7607808113e+03,6.7532675907e+00,1.3496526457e-04,2.2735689767e-02,1.2910645455e-04,5.6676439047e+06,5.6641223431e+06,2.2606583312e-02,2.2864796221e-02
54,5.6398470998e+06,1.6624331474e+03,6.7512673112e+00,1.2801509520e-04,2.4618464522e-02,1.1598039418e-04,5.6415095329e+06,5.6381846666e+06,2.4502484128e-02,2.4734444916e-02
55,5.6122221351e+06,1.5580058098e+03,6.7491348356e+00,1.2056424836e-04,2.6634774171e-02,1.0193791240e-04,5.6137801409e+06,5.6106641293e+06,2.6532836258e-02,2.6736712083e-02
56,5.5829272270e+06,1.4483928680e+03,6.7468619523e+00,1.1267011350e-04,2.8794088401e-02,8.6923129857e-05,5.5843756199e+06,5.5814788342e+06,2.8707165271e-02,2.8881011531e-02
57,5.5518769026e+06,1.3332366943e+03,6.7444398158e+00,1.0429218095e-04,3.1106766313e-02,7.0856884122e-05,5.5532101393e+06,5.5505436659e+06,3.1035909429e-02,3.1177623197e-02
58,5.5189792514e+06,1.2121796608e+03,6.7418587509e+00,9.5387737885e-05,3.3584218472e-02,5.3670257330e-05,5.5201914310e+06,5.5177670717e+06,3.3530548215e-02,3.3637888730e-02
59,5.4841364622e+06,1.0850429535e+03,6.7391082443e+00,8.5925683419e-05,3.6239039153e-02,3.5285949707e-05,5.4852215052e+06,5.4830514193e+06,3.6203753203e-02,3.6274325103e-02
60,5.4472437501e+06,9.5182657242e+02,6.7361768026e+00,7.5886641263e-05,3.9085192606e-02,1.5599653125e-05,5.4481955767e+06,5.4462919235e+06,3.9069592953e-02,3.9100792259e-02
61,5.4081872106e+06,8.1270933151e+02,6.7330517119e+00,6.5263121816e-05,4.2138207704e-02,5.4873526096e-06,5.4089999199e+06,5.4073745012e+06,4.2143695056e-02,4.2132720351e-02
62,5.3668459654e+06,6.6590309143e+02,6.7297191274e+00,5.3886033145e-05,4.5415412635e-02,2.8092414141e-05,5.3675118685e+06,5.3661800623e+06,4.5443505049e-02,4.5387320220e-02
63,5.3230876923e+06,5.1283836365e+02,6.7261636188e+00,4.1840917341e-05,4.8936266452e-02,5.2344053984e-05,5.3236005306e+06,5.3225748539e+06,4.8988610506e-02,4.8883922398e-02
64,5.2767702341e+06,3.5190582275e+02,6.7223681832e+00,2.8962935739e-05,5.2722634748e-02,7.8404322267e-05,5.2771221399e+06,5.2764183283e+06,5.2801039070e-02,5.2644230425e-02
65,5.2277374864e+06,1.8364191055e+02,6.7183137709e+00,1.5256058408e-05,5.6799277663e-02,1.0643154383e-04,5.2279211283e+06,5.2275538445e+06,5.6905709207e-02,5.6692846119e-02
66,5.1758210063e+06,6.9737434387e+00,6.7139792489e+00,5.8515514567e-07,6.1194313690e-02,1.3660825789e-04,5.1758279800e+06,5.1758140326e+06,6.1330921948e-02,6.1057705432e-02
67,5.1208364367e+06,1.7756223679e+02,6.7093409041e+00,1.5058926528e-05,6.5939858556e-02,1.6915053129e-04,5.1206588745e+06,5.1210139990e+06,6.6109009087e-02,6.5770708025e-02
68,5.0625783205e+06,3.7014484406e+02,6.7043717539e+00,3.1752963290e-05,7.1072772145e-02,2.0430237055e-04,5.0622081757e+06,5.0629484653e+06,7.1277074516e-02,7.0868469775e-02
69,5.0008249283e+06,5.7291984558e+02,6.6990416479e+00,4.9754976862e-05,7.6635606587e-02,2.4235993624e-04,5.0002520084e+06,5.0013978481e+06,7.6877966523e-02,7.6393246651e-02
