step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
26,1.9913292329e+00,4.7069135595e-03,2.9914185528e-01,1.0270276918e-03,2.8006658734e-04,6.6564932387e-04,1.9926407337e+00,1.9850217104e+00,1.9963252544e+00,5.9290585341e-05,1.1829676805e-03,-4.0205850382e-04
27,1.9913185835e+00,4.7213155367e-03,2.9913952526e-01,1.0301793952e-03,2.8090431200e-04,6.6678590069e-04,1.9926409721e+00,1.9849895239e+00,1.9963252544e+00,5.9290585341e-05,1.1854810873e-03,-4.0205873665e-04
28,1.9913074176e+00,4.7365726250e-03,2.9913708211e-01,1.0335181061e-03,2.8184634963e-04,6.6806349541e-04,1.9926409721e+00,1.9849556684e+00,1.9963256121e+00,5.9291269281e-05,1.1883063708e-03,-4.0205859113e-04
29,1.9912957748e+00,4.7520593682e-03,2.9913453479e-01,1.0369073156e-03,2.8289877567e-04,6.6949086515e-04,1.9926407337e+00,1.9849209785e+00,1.9963256121e+00,5.9292382502e-05,1.1914623901e-03,-4.0205844562e-04
30,1.9912840525e+00,4.7676306639e-03,2.9913197006e-01,1.0403152608e-03,2.8406454051e-04,6.7107279642e-04,1.9926409721e+00,1.9848859310e+00,1.9963252544e+00,5.9292968217e-05,1.1949591571e-03,-4.0205850382e-04
31,1.9912726879e+00,4.7828845776e-03,2.9912948345e-01,1.0436536257e-03,2.8534547770e-04,6.7281090619e-04,1.9926409721e+00,1.9848518372e+00,1.9963252544e+00,5.9294161474e-05,1.1988006299e-03,-4.0205835830e-04
32,1.9912619193e+00,4.7973701684e-03,2.9912712721e-01,1.0468237182e-03,2.8673957543e-04,6.7470290004e-04,1.9926404953e+00,1.9848196507e+00,1.9963256121e+00,5.9295078245e-05,1.2029814534e-03,-4.0205780533e-04
33,1.9912521442e+00,4.8105637884e-03,2.9912498828e-01,1.0497112696e-03,2.8824137432e-04,6.7674210112e-04,1.9926406145e+00,1.9847902060e+00,1.9963256121e+00,5.9296191466e-05,1.2074859114e-03,-4.0205797995e-04
34,1.9912436406e+00,4.8217932689e-03,2.9912312768e-01,1.0521689910e-03,2.8984329159e-04,6.7891718615e-04,1.9926402569e+00,1.9847650528e+00,1.9963256121e+00,5.9297657572e-05,1.2122897897e-03,-4.0205757250e-04
35,1.9912369649e+00,4.8307637012e-03,2.9912166693e-01,1.0541323061e-03,2.9153339104e-04,6.8121347298e-04,1.9926402569e+00,1.9847450256e+00,1.9963256121e+00,5.9298650740e-05,1.2173593277e-03,-4.0205780533e-04
36,1.9912320375e+00,4.8371001351e-03,2.9912058891e-01,1.0555193251e-03,2.9330032097e-04,6.8361407631e-04,1.9926402569e+00,1.9847306013e+00,1.9963252544e+00,5.9300273278e-05,1.2226582039e-03,-4.0205751429e-04
37,1.9912294149e+00,4.8407552466e-03,2.9912001496e-01,1.0563193081e-03,2.9513042803e-04,6.8610229776e-04,1.9926404953e+00,1.9847224951e+00,1.9963252544e+00,5.9300273278e-05,1.2281483505e-03,-4.0205733967e-04
38,1.9912291368e+00,4.8414148732e-03,2.9911995395e-01,1.0564634968e-03,2.9701153471e-04,6.8866098783e-04,1.9926404953e+00,1.9847213030e+00,1.9963256121e+00,5.9300331486e-05,1.2337919325e-03,-4.0205765981e-04
39,1.9912310044e+00,4.8389044970e-03,2.9912036261e-01,1.0559140546e-03,2.9893254274e-04,6.9127429687e-04,1.9926404953e+00,1.9847269058e+00,1.9963256121e+00,5.9300156863e-05,1.2395547237e-03,-4.0205725236e-04
40,1.9912349780e+00,4.8334338188e-03,2.9912123219e-01,1.0547167055e-03,3.0088444570e-04,6.9393042741e-04,1.9926402569e+00,1.9847390652e+00,1.9963256121e+00,5.9299942222e-05,1.2454101816e-03,-4.0205678670e-04
41,1.9912408988e+00,4.8251915398e-03,2.9912252789e-01,1.0529129345e-03,3.0285845060e-04,6.9661794317e-04,1.9926402569e+00,1.9847571850e+00,1.9963252544e+00,5.9299647546e-05,1.2513325782e-03,-4.0205687401e-04
42,1.9912489255e+00,4.8144071120e-03,2.9912428425e-01,1.0505526154e-03,3.0484904467e-04,6.9932911629e-04,1.9926402569e+00,1.9847812653e+00,1.9963252544e+00,5.9299003624e-05,1.2573051499e-03,-4.0205701953e-04
43,1.9912586610e+00,4.8012656981e-03,2.9912641450e-01,1.0476764772e-03,3.0685264937e-04,7.0205808591e-04,1.9926401377e+00,1.9848105907e+00,1.9963252544e+00,5.9298829001e-05,1.2633156730e-03,-4.0205655387e-04
44,1.9912700653e+00,4.7860171104e-03,2.9912890982e-01,1.0443392086e-03,3.0886549454e-04,7.0480088548e-04,1.9926402569e+00,1.9848446846e+00,1.9963252544e+00,5.9298494307e-05,1.2693544850e-03,-4.0205649566e-04
45,1.9912828207e+00,4.7688959578e-03,2.9913170074e-01,1.0405921833e-03,3.1088643906e-04,7.0755540755e-04,1.9926402569e+00,1.9848829508e+00,1.9963252544e+00,5.9298243286e-05,1.2754173949e-03,-4.0205632104e-04
46,1.9912969271e+00,4.7499692601e-03,2.9913478721e-01,1.0364500892e-03,3.1291542473e-04,7.1032148285e-04,1.9926402569e+00,1.9849252701e+00,1.9963252544e+00,5.9297872212e-05,1.2815041700e-03,-4.0205576806e-04
47,1.9913121065e+00,4.7296124578e-03,2.9913810835e-01,1.0319951129e-03,3.1495216778e-04,7.1309976982e-04,1.9926402569e+00,1.9849708080e+00,1.9963252544e+00,5.9297402913e-05,1.2876152759e-03,-4.0205617552e-04
48,1.9913282394e+00,4.7079875035e-03,2.9914163807e-01,1.0272627165e-03,3.1699827135e-04,7.1589044684e-04,1.9926402569e+00,1.9850192070e+00,1.9963252544e+00,5.9297890402e-05,1.2937526917e-03,-4.0205576806e-04
49,1.9913451672e+00,4.6855957914e-03,2.9914534142e-01,1.0223624609e-03,3.1905447274e-04,7.1869585710e-04,1.9926402569e+00,1.9850696325e+00,1.9963256121e+00,5.9297850385e-05,1.2999207247e-03,-4.0205515688e-04
50,1.9913626512e+00,4.6618992909e-03,2.9914916668e-01,1.0171771619e-03,3.2112266005e-04,7.2151854631e-04,1.9926402569e+00,1.9851224422e+00,1.9963252544e+00,5.9298261476e-05,1.3061247300e-03,-4.0205501136e-04
51,1.9913808505e+00,4.6375459831e-03,2.9915314817e-01,1.0118480944e-03,3.2320451525e-04,7.2436099220e-04,1.9926402569e+00,1.9851770401e+00,1.9963252544e+00,5.9298377892e-05,1.3123701792e-03,-4.0205501136e-04
52,1.9913994074e+00,4.6127295963e-03,2.9915720778e-01,1.0064178400e-03,3.2530148989e-04,7.2722475391e-04,1.9926402569e+00,1.9852327108e+00,1.9963252544e+00,5.9298945416e-05,1.3186606811e-03,-4.0205515688e-04
53,1.9914182822e+00,4.5875043831e-03,2.9916133682e-01,1.0008982778e-03,3.2741572553e-04,7.3011249470e-04,1.9926402569e+00,1.9852893353e+00,1.9963252544e+00,5.9299200075e-05,1.3250025222e-03,-4.0205454570e-04
54,1.9914373954e+00,4.5619775580e-03,2.9916551790e-01,9.9531287397e-04,3.2954816318e-04,7.3302635169e-04,1.9926402569e+00,1.9853466749e+00,1.9963252544e+00,5.9299316490e-05,1.3313995441e-03,-4.0205437108e-04
55,1.9914567073e+00,4.5364900615e-03,2.9916974217e-01,9.8973605450e-04,3.3170074797e-04,7.3596841158e-04,1.9926402569e+00,1.9854042530e+00,1.9963256121e+00,5.9299629356e-05,1.3378567528e-03,-4.0205413825e-04
56,1.9914760192e+00,4.5107337688e-03,2.9917396647e-01,9.8410075693e-04,3.3387431661e-04,7.3893973914e-04,1.9926402569e+00,1.9854621887e+00,1.9963256121e+00,5.9299942222e-05,1.3443765929e-03,-4.0205358528e-04
57,1.9914950530e+00,4.4852707175e-03,2.9917812984e-01,9.7852983263e-04,3.3606955791e-04,7.4194186391e-04,1.9926402569e+00,1.9855194092e+00,1.9963254929e+00,5.9300255089e-05,1.3509618584e-03,-4.0205343976e-04
58,1.9915139278e+00,4.4602289193e-03,2.9918225824e-01,9.7305110747e-04,3.3828713034e-04,7.4497523309e-04,1.9926402569e+00,1.9855759144e+00,1.9963256121e+00,5.9300506109e-05,1.3576139463e-03,-4.0205306141e-04
59,1.9915322463e+00,4.4355622507e-03,2.9918626503e-01,9.6765483225e-04,3.4052645181e-04,7.4803917514e-04,1.9926402569e+00,1.9856312275e+00,1.9963252544e+00,5.9300782596e-05,1.3643312268e-03,-4.0205265395e-04
60,1.9915501674e+00,4.4117285689e-03,2.9919018466e-01,9.6244075752e-04,3.4278805955e-04,7.5113449216e-04,1.9926402569e+00,1.9856849909e+00,1.9963252544e+00,5.9301270085e-05,1.3711153297e-03,-4.0205242112e-04
61,1.9915673733e+00,4.3888620475e-03,2.9919394776e-01,9.5743839544e-04,3.4507073966e-04,7.5425894979e-04,1.9926402569e+00,1.9857366085e+00,1.9963252544e+00,5.9302110458e-05,1.3779618312e-03,-4.0205172263e-04
62,1.9915837049e+00,4.3671719952e-03,2.9919751957e-01,9.5269351764e-04,3.4737243550e-04,7.5741111689e-04,1.9926402569e+00,1.9857856035e+00,1.9963252544e+00,5.9302401496e-05,1.3848665403e-03,-4.0205163532e-04
63,1.9915989637e+00,4.3469199307e-03,2.9920085665e-01,9.4826331325e-04,3.4969170398e-04,7.6058807466e-04,1.9926402569e+00,1.9858313799e+00,1.9963252544e+00,5.9302325099e-05,1.3918238692e-03,-4.0205108235e-04
64,1.9916127920e+00,4.3285775753e-03,2.9920388081e-01,9.4425094870e-04,3.5202614526e-04,7.6378689205e-04,1.9926402569e+00,1.9858728647e+00,1.9963252544e+00,5.9302772570e-05,1.3988268329e-03,-4.0205116966e-04
65,1.9916251898e+00,4.3121417744e-03,2.9920659208e-01,9.4065570878e-04,3.5437309877e-04,7.6700324845e-04,1.9926402569e+00,1.9859100580e+00,1.9963252544e+00,5.9303300077e-05,1.4058667002e-03,-4.0205070400e-04
66,1.9916357994e+00,4.2980834079e-03,2.9920891226e-01,9.3758057080e-04,3.5672813465e-04,7.7023166667e-04,1.9926402569e+00,1.9859418869e+00,1.9963252544e+00,5.9304064052e-05,1.4129308984e-03,-4.0205055848e-04
67,1.9916443825e+00,4.2867150399e-03,2.9921078923e-01,9.3509387985e-04,3.5908736512e-04,7.7346664481e-04,1.9926402569e+00,1.9859676361e+00,1.9963252544e+00,5.9304140450e-05,1.4200077858e-03,-4.0204983088e-04
