replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,228.4284,1.9926310778e+00,2,5.9769023210e-05
2,1042,228.4738,1.9768042564e+00,2,1.3107227860e-03
3,2042,227.5791,1.9963166714e+00,2,-4.0161819197e-04
