step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,qy_replica_1,qy_replica_2,qy_replica_3
26,3.5781364441e+05,7.3629263273e+02,5.5536559773e+00,8.9414502822e-04,1.1643116983e-02,5.7154878909e-04,3.5809190273e+05,3.5680553913e+05,3.5854349136e+05,1.1553193443e-02,1.2383734807e-02,1.0992422700e-02
27,3.5105482737e+05,7.0462654115e+02,5.5453740740e+00,8.7217889734e-04,1.3655159933e-02,5.5533666772e-04,3.5134105682e+05,3.5008509159e+05,3.5173833370e+05,1.3588562608e-02,1.4366154559e-02,1.3010762632e-02
28,3.4350965818e+05,6.6957874863e+02,5.5359381266e+00,8.4701515163e-04,1.5945287421e-02,5.3730467897e-04,3.4380438328e+05,3.4258296490e+05,3.4414162636e+05,1.5905346721e-02,1.6622409225e-02,1.5308106318e-02
29,3.3513207436e+05,6.3109123531e+02,5.5252152241e+00,8.1829677146e-04,1.8543940037e-02,5.1749989359e-04,3.3543586731e+05,3.3425340652e+05,3.3570694923e+05,1.8534360453e-02,1.9182480872e-02,1.7914978787e-02
30,3.2588085334e+05,5.8927080231e+02,5.5130581343e+00,7.8576955876e-04,2.1484421566e-02,4.9609100604e-04,3.2619421482e+05,3.2505543232e+05,3.2639291286e+05,2.1509300917e-02,2.2079184651e-02,2.0864779130e-02
31,3.1572187742e+05,5.4434356917e+02,5.4993040306e+00,7.4921836387e-04,2.4803161621e-02,4.7342463168e-04,3.1604518890e+05,3.1495518684e+05,3.1616525650e+05,2.4867035449e-02,2.5348404422e-02,2.4194044992e-02
32,3.0463097890e+05,4.9687210298e+02,5.4837734879e+00,7.0876924874e-04,2.8539930781e-02,4.5013754515e-04,3.0496456623e+05,3.0392858982e+05,3.0499978065e+05,2.8647815809e-02,2.9029317200e-02,2.7942659333e-02
33,2.9259808064e+05,4.4776665909e+02,5.4662709641e+00,6.6496274992e-04,3.2737976561e-02,4.2732006749e-04,2.9294199944e+05,2.9196565151e+05,2.9288659096e+05,3.2895416021e-02,3.3164542168e-02,3.2153971493e-02
34,2.7963187695e+05,3.9857718549e+02,5.4465862363e+00,6.1930695797e-04,3.7444112202e-02,4.0672380005e-04,2.7998590469e+05,2.7907500267e+05,2.7983472347e+05,3.7657245994e-02,3.7800218910e-02,3.6874871701e-02
35,2.6576565901e+05,3.5194844387e+02,5.4244984818e+00,5.7529876211e-04,4.2708721012e-02,3.9097586068e-04,2.6612925529e+05,2.6528949738e+05,2.6587822437e+05,4.2984329164e-02,4.2986035347e-02,4.2155798525e-02
36,2.5106406212e+05,3.1176848928e+02,5.3997842164e+00,5.3933244365e-04,4.8585514228e-02,3.8363509104e-04,2.5143620968e+05,2.5067322254e+05,2.5108275414e+05,4.8931021243e-02,4.8775020987e-02,4.8050500453e-02
37,2.3563121955e+05,2.8348835445e+02,5.3722325168e+00,5.2237873588e-04,5.5131090184e-02,3.8884589279e-04,2.3601055145e+05,2.3532917500e+05,2.3555393219e+05,5.5554620922e-02,5.5223081261e-02,5.4615568370e-02
38,2.1961874962e+05,2.7225644714e+02,5.3416690811e+00,5.3815303914e-04,6.2404160698e-02,4.1043044545e-04,2.2000315189e+05,2.1940753460e+05,2.1944556236e+05,6.2914557755e-02,6.2388338149e-02,6.1909586191e-02
39,2.0323377450e+05,2.7986447445e+02,5.3079954715e+00,5.9781579610e-04,7.0464429756e-02,4.5074716567e-04,2.0362050533e+05,2.0311331749e+05,2.0296750069e+05,7.1071274579e-02,7.0330016315e-02,6.9991998374e-02
40,1.8674548070e+05,3.0253761451e+02,5.2712495307e+00,7.0349151885e-04,7.9370814065e-02,5.1024970378e-04,1.8713096380e+05,1.8671350479e+05,1.8639197350e+05,8.0084457994e-02,7.9106546938e-02,7.8921437263e-02
41,1.7048789263e+05,3.3317740180e+02,5.2316927130e+00,8.4891412032e-04,8.9179411530e-02,5.8798061885e-04,1.7086784840e+05,1.7053923607e+05,1.7005659342e+05,9.0010859072e-02,8.8773839176e-02,8.8753536344e-02
42,1.5485712290e+05,3.6436000256e+02,5.1899299832e+00,1.0224200975e-03,9.9940550824e-02,6.8243090589e-04,1.5522662401e+05,1.5498340130e+05,1.5436134338e+05,1.0090146214e-01,9.9382281303e-02,9.9537909031e-02
43,1.4029979308e+05,3.9017064134e+02,5.1470553492e+00,1.2087992621e-03,1.1169579873e-01,7.9176935696e-04,1.4065384865e+05,1.4048928022e+05,1.3975625038e+05,1.1279802769e-01,1.1097390205e-01,1.1131546646e-01
44,1.2729061842e+05,4.0624159149e+02,5.1047941815e+00,1.3875342544e-03,1.2447494268e-01,9.1420165941e-04,1.2762471437e+05,1.2752833366e+05,1.2671880722e+05,1.2573024631e-01,1.2357932329e-01,1.2411525846e-01
45,1.1629948219e+05,4.0985554523e+02,5.0655750797e+00,1.5324152751e-03,1.3829333087e-01,1.0476579215e-03,1.1661030054e+05,1.1656776667e+05,1.1572037935e+05,1.3971258700e-01,1.3721537590e-01,1.3795202971e-01
46,1.0775055488e+05,3.9970933382e+02,5.0324165219e+00,1.6131739226e-03,1.5314966937e-01,1.1898953967e-03,1.0803633928e+05,1.0803003311e+05,1.0718529224e+05,1.5474224091e-01,1.5188267827e-01,1.5282408893e-01
47,1.0197905699e+05,3.7597604913e+02,5.0085080350e+00,1.6032522814e-03,1.6902516782e-01,1.3382863118e-03,1.0223976374e+05,1.0225002766e+05,1.0144737959e+05,1.7079800367e-01,1.6756489873e-01,1.6871260107e-01
48,9.9194451173e+04,3.4009206848e+02,4.9964848222e+00,1.4908088000e-03,1.8588381509e-01,1.4900037887e-03,9.9431431293e+04,9.9438416958e+04,9.8713505268e+04,1.8784098327e-01,1.8422900140e-01,1.8558146060e-01
49,9.9458950758e+04,2.9471715510e+02,4.9976419640e+00,1.2882545397e-03,2.0367402832e-01,1.6421334705e-03,9.9674594402e+04,9.9660015106e+04,9.9042242765e+04,2.0581635833e-01,2.0182651281e-01,2.0337921381e-01
50,1.0268745820e+05,2.4373401368e+02,5.0115161793e+00,1.0316594027e-03,2.2233091295e-01,1.7917347235e-03,1.0288499594e+05,1.0283331871e+05,1.0234405994e+05,2.2465583682e-01,2.2029580176e-01,2.2204110026e-01
51,1.0866933266e+05,1.9239290547e+02,5.0361063190e+00,7.6927872455e-04,2.4177873135e-01,1.9357984274e-03,1.0885273218e+05,1.0875169039e+05,1.0840357542e+05,2.4428005517e-01,2.3956447840e-01,2.4149166048e-01
52,1.1710678736e+05,1.4828913777e+02,5.0685817187e+00,5.4998591579e-04,2.6193327705e-01,2.0715701479e-03,1.1728081703e+05,1.1712111235e+05,1.1691843271e+05,2.6460134983e-01,2.5955131650e-01,2.6164716482e-01
