replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,111.2932,2.2354072571e+06,,9.8575985432e-01
2,1042,110.5711,2.3074579239e+06,,9.8802125454e-01
3,2042,110.6540,2.4419010162e+06,,9.9954319000e-01
