alpha,cosine_similarity_mean,cosine_similarity_std,loss_per_edge_mean,loss_per_edge_std,Steps_mean,cosine_similarity_replica_0,loss_per_edge_replica_0,cosine_similarity_replica_1,loss_per_edge_replica_1,cosine_similarity_replica_2,loss_per_edge_replica_2,cosine_similarity_replica_3,loss_per_edge_replica_3,cosine_similarity_replica_4,loss_per_edge_replica_4,cosine_similarity_replica_5,loss_per_edge_replica_5,cosine_similarity_replica_6,loss_per_edge_replica_6,cosine_similarity_replica_7,loss_per_edge_replica_7,cosine_similarity_replica_8,loss_per_edge_replica_8,cosine_similarity_replica_9,loss_per_edge_replica_9
0.0,0.001573314151755767,0.0016713362664885767,5.940101914347907e-07,2.3414548213513192e-07,1051.0,0.0011349383275955915,3.439198792420939e-07,0.0032840941566973925,9.192522156808991e-07,-0.0019828970544040203,3.209077021892881e-07,0.0014834663597866893,8.432360232291103e-07,0.004561247304081917,8.90320052349125e-07,0.0011789617128670216,3.8448854411399225e-07,1.56438400154002e-05,4.1455550103819405e-07,0.002176809124648571,8.364178825104318e-07,0.002031637355685234,4.803311526302423e-07,0.0018492403905838728,5.066729613645293e-07
0.2,0.009631934063509106,0.0015675608017576134,6.267078902055801e-07,1.4923181527773833e-07,1461.0,0.00897129438817501,5.098871724840137e-07,0.010814864188432693,3.766066356547526e-07,0.00641390448436141,7.109333068910928e-07,0.011225386522710323,8.059543574745476e-07,0.011875900439918041,6.404665100490092e-07,0.010328602977097034,8.837381528792321e-07,0.008752921596169472,6.474888323282357e-07,0.009655109606683254,6.992482894929708e-07,0.010378680191934109,4.7029385541463853e-07,0.007902676239609718,5.224617893873074e-07
0.4,0.020374154299497606,0.0021176920793285984,7.030682525055454e-07,1.3859013175581067e-07,2081.0,0.018377847969532013,8.166425118361076e-07,0.019290316849946976,5.888011287424888e-07,0.020913582295179367,5.640977747134457e-07,0.024098142981529236,8.133452524816676e-07,0.023227302357554436,6.747088718839223e-07,0.022144364193081856,5.563535978581058e-07,0.017814254388213158,5.773274551756913e-07,0.0179995559155941,6.128723839537997e-07,0.02085486799478531,9.133754019785556e-07,0.019021308049559593,9.131581464316696e-07
0.6000000000000001,0.03151357639580965,0.0018708029250002398,8.92929472229298e-07,5.570103184951097e-08,2891.0,0.02944251522421837,9.86268901215226e-07,0.03131713718175888,9.548824664307176e-07,0.0308799147605896,8.063941550062736e-07,0.03505120053887367,8.655316037220473e-07,0.03429419547319412,8.385496244045498e-07,0.032391127198934555,9.474373428020044e-07,0.028702760115265846,8.851885127114656e-07,0.030894489958882332,8.331807634931465e-07,0.03053574450314045,8.928835768529098e-07,0.03162667900323868,9.189777756546391e-07
0.8,0.04508954733610153,0.004015485362252371,8.500473882122606e-07,5.809491561545225e-08,4201.0,0.039178214967250824,7.805936661497981e-07,0.04305296763777733,8.720803634787444e-07,0.04566230997443199,8.693936024428695e-07,0.053187496960163116,8.650263794152124e-07,0.04974663257598877,7.79215838520031e-07,0.04657772555947304,8.443137176072923e-07,0.03965390846133232,9.315166948908882e-07,0.044203825294971466,9.54973756961408e-07,0.04385140538215637,8.169553780135175e-07,0.04578098654747009,7.864044846428442e-07
1.0,0.06305427998304367,0.005289763141582607,1.7122120607382384e-05,2.9995591786269475e-06,5000.0,0.052281130105257034,1.505987711425405e-05,0.0602780357003212,1.5831959899514914e-05,0.06579709053039551,2.2174179321154952e-05,0.0701821818947792,2.1508811187231913e-05,0.06478971242904663,1.9724966477951966e-05,0.07066331058740616,1.5133795386645943e-05,0.057354871183633804,1.7826703697210178e-05,0.06345314532518387,1.6830685126478784e-05,0.061439961194992065,1.2408474503899924e-05,0.06430336087942123,1.4721753359481227e-05
1.2000000000000002,0.08822721764445304,0.006106448618581558,0.0013288773538079114,0.0001911457326693845,5000.0,0.07542595267295837,0.0016472081188112497,0.08643609285354614,0.0014125397428870201,0.08795429021120071,0.001230312860570848,0.09845000505447388,0.0012177459429949522,0.09116305410861969,0.0015178956091403961,0.09155900031328201,0.0009090952225960791,0.08146113902330399,0.0014205906772986054,0.08931368589401245,0.0012800601543858647,0.0866263210773468,0.0012485003098845482,0.09388263523578644,0.0014048248995095491
1.4000000000000001,0.12095322236418724,0.008150357619354212,0.01930223535746336,0.0015869796186292055,5000.0,0.10788530856370926,0.023353107273578644,0.1186637356877327,0.01962747797369957,0.12860289216041565,0.018225686624646187,0.13382983207702637,0.017203330993652344,0.1260426789522171,0.019203582778573036,0.1279313862323761,0.017730558291077614,0.11193770170211792,0.019969163462519646,0.11138372123241425,0.018917744979262352,0.11883597075939178,0.019483273848891258,0.12441899627447128,0.01930842734873295
1.6,0.15902085304260255,0.010731361006203536,0.08558517321944237,0.003963813956466599,5000.0,0.1420348882675171,0.09536449611186981,0.1611340045928955,0.08085210621356964,0.16863226890563965,0.08182971924543381,0.17992696166038513,0.08273495733737946,0.1678943932056427,0.0870651975274086,0.16221055388450623,0.08615903556346893,0.15016667544841766,0.08422910422086716,0.14755848050117493,0.08872475475072861,0.15406514704227448,0.08459395170211792,0.15658515691757202,0.08429840952157974
1.8,0.2064027741551399,0.012838781962499676,0.21274811178445815,0.009401400044626508,5000.0,0.19259314239025116,0.22149677574634552,0.20731036365032196,0.2190607339143753,0.23475928604602814,0.1954255849123001,0.22240552306175232,0.20467622578144073,0.20180068910121918,0.21849782764911652,0.20295503735542297,0.20946499705314636,0.1892898976802826,0.2153407633304596,0.2088383585214615,0.22088590264320374,0.19838547706604004,0.22317712008953094,0.20568996667861938,0.19945518672466278
2.0,0.2646199807524681,0.012468606092142051,0.37086487412452696,0.01618288233000912,5000.0,0.2662437856197357,0.3618548512458801,0.26429954171180725,0.3757442831993103,0.27745234966278076,0.3543356955051422,0.28938430547714233,0.34598273038864136,0.26172780990600586,0.38940128684043884,0.2762334942817688,0.34777215123176575,0.2491592913866043,0.3888646066188812,0.25624457001686096,0.3746344745159149,0.25712570548057556,0.38341742753982544,0.24832895398139954,0.3866412341594696
2.2,0.3455705106258392,0.01573493998691199,0.5366209447383881,0.012569963034847358,5000.0,0.33506739139556885,0.5434282422065735,0.3611747622489929,0.5358090400695801,0.3793565034866333,0.5163246989250183,0.3386099934577942,0.5406985878944397,0.33958810567855835,0.5434476733207703,0.3605184853076935,0.5253304839134216,0.3313165009021759,0.530099093914032,0.3294013440608978,0.5637350678443909,0.34909623861312866,0.5254448056221008,0.33157578110694885,0.5418917536735535
2.4000000000000004,0.45347205102443694,0.010230436417902578,0.6438622832298279,0.01489603808996598,5000.0,0.4419613182544708,0.6649182438850403,0.4640500545501709,0.6444976329803467,0.46703532338142395,0.6384963989257812,0.44922032952308655,0.6565161347389221,0.46530160307884216,0.6308934092521667,0.45010343194007874,0.626388430595398,0.4568280875682831,0.6216681003570557,0.43717846274375916,0.6567716002464294,0.44245055317878723,0.6633028388023376,0.4605913460254669,0.635170042514801
2.6,0.5670928239822388,0.024661036480328417,0.6933284103870392,0.04217915011916135,5000.0,0.5529667139053345,0.7149426937103271,0.6232702136039734,0.6070499420166016,0.5616218447685242,0.7225020527839661,0.5748531222343445,0.679641604423523,0.5967841148376465,0.6225208044052124,0.5490323305130005,0.7142246961593628,0.5527678728103638,0.7069903612136841,0.5501189231872559,0.7200717329978943,0.5369994640350342,0.742254912853241,0.5725136399269104,0.7030853033065796
2.8000000000000003,0.7516881108283997,0.02873579817892654,0.5450693309307099,0.05722045403210549,5000.0,0.7640411853790283,0.5134184956550598,0.7956400513648987,0.4548783600330353,0.7399589419364929,0.5902667045593262,0.7580630779266357,0.5430933237075806,0.7363707423210144,0.5608311891555786,0.7949420213699341,0.453281432390213,0.6912011504173279,0.648383617401123,0.7482370138168335,0.5417107343673706,0.7515288591384888,0.5536425113677979,0.7368980646133423,0.5911869406700134
3.0,0.9291542172431946,0.03360843608426831,0.2026862222701311,0.10276518555452402,5000.0,0.9532386660575867,0.13795776665210724,0.9773716926574707,0.05956216901540756,0.9032350182533264,0.2898251414299011,0.9024802446365356,0.29726195335388184,0.9359793663024902,0.17771494388580322,0.9569019079208374,0.10761431604623795,0.878929615020752,0.34581705927848816,0.9147253632545471,0.2443973869085312,0.8930729031562805,0.30936959385871887,0.9756073951721191,0.05734189227223396
3.2,0.9942340433597565,0.007259852239454832,0.015817808732390404,0.02125429345580093,5000.0,0.9967970252037048,0.006762568838894367,0.9993506669998169,0.0015833384823054075,0.9995175004005432,0.00113768654409796,0.9983721375465393,0.004146706312894821,0.9843642711639404,0.04016448184847832,0.9886062741279602,0.030573224648833275,0.9977065920829773,0.005835806950926781,0.9997512102127075,0.0005790928844362497,0.9784117937088013,0.06609664112329483,0.9994629621505737,0.0012985396897420287
3.4000000000000004,0.9999752044677734,2.9354703602089966e-05,8.369052047783044e-05,8.782404955888306e-05,5000.0,0.9999875426292419,4.411067129694857e-05,0.9999849796295166,6.257335189729929e-05,0.999992847442627,3.4402244637021795e-05,0.9999762773513794,6.867288902867585e-05,0.9999884963035583,4.488009653869085e-05,0.9999825358390808,5.577583215199411e-05,0.9999887347221375,4.0940540202427655e-05,0.9998884797096252,0.0003434006648603827,0.9999759197235107,8.814116881694645e-05,0.9999862313270569,5.400774534791708e-05
3.6,0.9999981045722961,6.301200526429421e-07,1.319857956332271e-05,3.4411893991253456e-06,5000.0,0.9999985098838806,1.0230704901914578e-05,0.9999983310699463,1.1480744433356449e-05,0.9999986290931702,1.1470707249827683e-05,0.9999969601631165,1.8506507331039757e-05,0.9999983310699463,1.21895691336249e-05,0.9999980330467224,1.3586884051619563e-05,0.9999985098838806,1.1014311894541606e-05,0.9999980330467224,1.3014948308409657e-05,0.9999969005584717,2.0774898075615056e-05,0.9999988079071045,9.71652025327785e-06
3.8000000000000003,0.9999997079372406,8.19428389362545e-08,3.304549591121031e-06,4.826816319035543e-07,5000.0,0.9999997615814209,3.202366997356876e-06,0.9999997615814209,3.204281028956757e-06,0.9999997019767761,2.9511027150874725e-06,0.9999995231628418,4.415702733240323e-06,0.9999995827674866,3.1899462555884384e-06,0.9999997615814209,3.227888328183326e-06,0.9999997615814209,2.8050201308360556e-06,0.9999997615814209,2.7085918645752827e-06,0.9999997019767761,3.499294052744517e-06,0.9999997615814209,3.841301804641262e-06
4.0,0.9999999284744263,7.44461774635124e-08,1.0538466085563415e-06,1.832215131463419e-07,4950.5,0.9999998211860657,1.072085751729901e-06,0.9999999403953552,1.5426949175889604e-06,0.9999999403953552,9.732001444717753e-07,1.0,9.832596106207347e-07,1.0,9.696185543361935e-07,1.0,9.586703981767641e-07,0.9999998211860657,9.097870474761294e-07,0.9999998211860657,9.487727652413014e-07,0.9999999403953552,1.2211875173306908e-06,1.0,9.591893785909633e-07
4.2,1.0000000238418578,8.085167387873255e-08,9.341036559362692e-07,5.1171178452081256e-08,4431.0,1.0000001192092896,9.98690211417852e-07,0.9999999403953552,9.873358521872433e-07,0.9999999403953552,8.94461038569716e-07,1.0,9.772273870112258e-07,1.0000001192092896,9.682602239990956e-07,0.9999999403953552,8.893204608284577e-07,1.0000001192092896,9.573258239470306e-07,1.0000001192092896,9.476159448240651e-07,0.9999999403953552,8.381507541344035e-07,1.0,8.826488624436024e-07
4.4,1.000000011920929,5.840038639982171e-08,8.788920297320146e-07,5.562631813838249e-08,4001.0,1.0,9.649634193920065e-07,1.0,8.83268967299955e-07,1.0,8.185464821508504e-07,1.0,8.4752576867686e-07,1.0,8.664137567393482e-07,0.9999999403953552,9.756230383572984e-07,1.0,8.760950436226267e-07,1.0000001192092896,9.108315452976967e-07,0.9999999403953552,7.907116241767653e-07,1.0000001192092896,8.549406516067393e-07
4.6000000000000005,1.000000035762787,1.0044753281088302e-07,8.832707408146234e-07,6.57380707572625e-08,3701.0,1.000000238418579,9.0844525857392e-07,1.0000001192092896,7.943718856040505e-07,0.9999999403953552,8.173099104169523e-07,1.0,9.487672514296719e-07,0.9999999403953552,8.148334131874435e-07,1.0000001192092896,9.574329169481643e-07,1.0,9.861728358373512e-07,0.9999999403953552,9.126971463047084e-07,0.9999999403953552,8.174324648280162e-07,1.0000001192092896,8.752443250159558e-07
4.800000000000001,1.000000035762787,5.462855929083633e-08,8.842411489240476e-07,8.940390105786558e-08,3371.0,1.0,9.991977094614413e-07,1.0,7.721546921857225e-07,1.0000001192092896,9.683942607807694e-07,1.0,9.445280397812894e-07,1.0000001192092896,7.538950512753217e-07,1.0,7.680601470383408e-07,1.0000001192092896,9.715002988741617e-07,1.0,9.181737823382718e-07,1.0,9.17642807962693e-07,1.0,8.288646995424642e-07
5.0,1.0000000536441802,6.76978629326853e-08,8.656474221879762e-07,7.847544335578172e-08,3131.0,1.0000001192092896,9.666950973041821e-07,1.0000001192092896,8.896158760762773e-07,1.0000001192092896,9.236592859451775e-07,1.0,8.092671350823366e-07,1.0000001192092896,9.122389315052715e-07,0.9999999403953552,7.326556783482374e-07,1.0,9.371811415803677e-07,1.0,7.298628474927682e-07,1.0000001192092896,8.609976589468715e-07,1.0,8.94300569598272e-07
