step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,loss_replica_2,loss_replica_3,loss_replica_4,loss_replica_5,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5
1,1.0004182220e+00,4.5852406674e-03,1.7702445191e-04,1.9929593484e-03,4.2460206314e-04,1.2115749691e-03,9.9333751202e-01,1.0046080351e+00,1.0042781830e+00,9.9661237001e-01,1.0032550097e+00,1.9982443191e-03,1.6822321340e-03,-2.2928931867e-04,-1.1557785328e-03,-1.7239828594e-04
2,1.0004178286e+00,4.5851772088e-03,1.7685379909e-04,1.9929324518e-03,4.2519773997e-04,1.2115768752e-03,9.9333727360e-01,1.0046075583e+00,1.0042778254e+00,9.9661195278e-01,1.0032545328e+00,1.9988392014e-03,1.6828314401e-03,-2.2869023087e-04,-1.1551897041e-03,-1.7180200666e-04
3,1.0004169464e+00,4.5850322177e-03,1.7647112799e-04,1.9928710256e-03,4.2877326196e-04,1.2115876245e-03,9.9333667755e-01,1.0046066046e+00,1.0042768717e+00,9.9661111832e-01,1.0032534599e+00,2.0024089608e-03,1.6864312347e-03,-2.2509526752e-04,-1.1516484665e-03,-1.6823015176e-04
4,1.0004151583e+00,4.5848807108e-03,1.7569515805e-04,1.9928085546e-03,4.3949978426e-04,1.2116233281e-03,9.9333518744e-01,1.0046048164e+00,1.0042749643e+00,9.9660938978e-01,1.0032514334e+00,2.0131233614e-03,1.6972339945e-03,-2.1431205096e-04,-1.1410281295e-03,-1.5751825413e-04
5,1.0004122734e+00,4.5846110885e-03,1.7444330711e-04,1.9926968283e-03,4.6332322818e-04,1.2117037820e-03,9.9333280325e-01,1.0046017170e+00,1.0042721033e+00,9.9660664797e-01,1.0032480955e+00,2.0369219128e-03,1.7212281236e-03,-1.9036306185e-04,-1.1174405226e-03,-1.3373031106e-04
6,1.0004077077e+00,4.5843460414e-03,1.7246174184e-04,1.9925904492e-03,5.0794726412e-04,1.2118570714e-03,9.9332875013e-01,1.0045969486e+00,1.0042674541e+00,9.9660217762e-01,1.0032432079e+00,2.0815029275e-03,1.7661747988e-03,-1.4550528431e-04,-1.0732604424e-03,-8.9175679022e-05
7,1.0004010320e+00,4.5839827259e-03,1.6956434944e-04,1.9924454368e-03,5.8280547055e-04,1.2121159176e-03,9.9332278967e-01,1.0045900345e+00,1.0042606592e+00,9.9659562111e-01,1.0032360554e+00,2.1562911570e-03,1.8415766535e-03,-7.0254325692e-05,-9.9914753810e-04,-1.4438594008e-05
8,1.0003916740e+00,4.5836012928e-03,1.6550253827e-04,1.9922979087e-03,6.9902762043e-04,1.2125192131e-03,9.9331414700e-01,1.0045803785e+00,1.0042512417e+00,9.9658644199e-01,1.0032261610e+00,2.2724065930e-03,1.9586442504e-03,4.6576562454e-05,-8.8408292504e-04,1.0159362137e-04
9,1.0003788471e+00,4.5831213198e-03,1.5993486400e-04,1.9921142928e-03,8.6939642788e-04,1.2131117508e-03,9.9330228567e-01,1.0045672655e+00,1.0042382479e+00,9.9657374620e-01,1.0032126904e+00,2.4426206946e-03,2.1302527748e-03,2.1783864941e-04,-7.1541173384e-04,2.7168175438e-04
10,1.0003621578e+00,4.5825564494e-03,1.5269045195e-04,1.9919014448e-03,1.1082985613e-03,1.2139458971e-03,9.9328666925e-01,1.0045502186e+00,1.0042213202e+00,9.9655729532e-01,1.0031952858e+00,2.6813095901e-03,2.3708955850e-03,4.5799155487e-04,-4.7889151028e-04,5.1018758677e-04
11,1.0003408194e+00,4.5819485506e-03,1.4342754939e-04,1.9916791174e-03,1.4316666668e-03,1.2150772623e-03,9.9326646328e-01,1.0045285225e+00,1.0041997433e+00,9.9653625488e-01,1.0031731129e+00,3.0043893494e-03,2.6966203004e-03,7.8305375064e-04,-1.5874880773e-04,8.3301874110e-04
12,1.0003143191e+00,4.5812648313e-03,1.3192353845e-04,1.9914340801e-03,1.8569161126e-03,1.2165688054e-03,9.9324125051e-01,1.0045014620e+00,1.0041729212e+00,9.9651002884e-01,1.0031459332e+00,3.4292619675e-03,3.1249667518e-03,1.2105320347e-03,2.6225703186e-04,1.2575627770e-03
13,1.0002820134e+00,4.5804899299e-03,1.1789877658e-04,1.9911607970e-03,2.4028751883e-03,1.2184895909e-03,9.9321043491e-01,1.0044686794e+00,1.0041402578e+00,9.9647802114e-01,1.0031126738e+00,3.9747389965e-03,3.6748996936e-03,1.7593539087e-03,8.0276414519e-04,1.8026191974e-03
14,1.0002436042e+00,4.5797878358e-03,1.0122329103e-04,1.9909314474e-03,3.0897088582e-03,1.2209137831e-03,9.9317336082e-01,1.0044296980e+00,1.0041015148e+00,9.9643987417e-01,1.0030735731e+00,4.6609668061e-03,4.3667275459e-03,2.4497909471e-03,1.4827348059e-03,2.4883241858e-03
15,1.0001985908e+00,4.5788977692e-03,8.1679893348e-05,1.9906333190e-03,3.9388369769e-03,1.2239221450e-03,9.9313002825e-01,1.0043840408e+00,1.0040560961e+00,9.9639523029e-01,1.0030275583e+00,5.5093457922e-03,5.2220206708e-03,3.3033785876e-03,2.3233701941e-03,3.3360696398e-03
16,1.0001467466e+00,4.5779975436e-03,5.9169487374e-05,1.9903443362e-03,4.9728495535e-03,1.2276030718e-03,9.9307990074e-01,1.0043315887e+00,1.0040037632e+00,9.9634373188e-01,1.0029747486e+00,6.5424451604e-03,6.2635298818e-03,4.3428274803e-03,3.3470287453e-03,4.3684164993e-03
