replica,seed,runtime_sec,final_loss,estimated_convergence_step,qy
1,42,235.1343,9.2627227306e-01,2,1.2109171152e+00
2,1042,234.7220,9.3750345707e-01,2,1.2146403790e+00
3,2042,231.1424,9.3329375982e-01,2,1.2151736021e+00
4,3042,232.0883,9.3250083923e-01,2,1.2101547718e+00
5,4042,231.6139,9.3821835518e-01,2,1.2092010975e+00
