step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,2.2775382996e+00,1.2741899490e-01,3.5678496368e-01,2.4322405201e-02,-3.7338612135e-02,4.6416448895e-02,2.1501193047e+00,2.4049572945e+00,9.0778367594e-03,-8.3755061030e-02
2,2.2777451277e+00,1.2746155262e-01,3.5682406949e-01,2.4328331913e-02,-3.7340993062e-02,4.6414403245e-02,2.1502835751e+00,2.4052066803e+00,9.0734101832e-03,-8.3755396307e-02
3,2.2786147594e+00,1.2764954567e-01,3.5698835779e-01,2.4354970924e-02,-3.7362409756e-02,4.6399885789e-02,2.1509652138e+00,2.4062643051e+00,9.0374760330e-03,-8.3762295544e-02
4,2.2799026966e+00,1.2793517113e-01,3.5723147677e-01,2.4395763495e-02,-3.7392508239e-02,4.6379718930e-02,2.1519675255e+00,2.4078378677e+00,8.9872106910e-03,-8.3772227168e-02
5,2.2815845013e+00,1.2832546234e-01,3.5754854811e-01,2.4452269140e-02,-3.7428804673e-02,4.6355902217e-02,2.1532590389e+00,2.4099099636e+00,8.9270975441e-03,-8.3784706891e-02
