step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,1.9976466894e+00,6.0304403305e-03,3.0051670101e-01,1.3110400996e-03,1.5050958609e-05,8.3460364840e-04,2.0036771297e+00,1.9916162491e+00,-8.1955268979e-04,8.4965460701e-04
2,1.9976549745e+00,6.0302615166e-03,3.0051850234e-01,1.3109957873e-03,1.5139521565e-05,8.3459093003e-04,2.0036852360e+00,1.9916247129e+00,-8.1945140846e-04,8.4973045159e-04
3,1.9976574183e+00,6.0299634933e-03,3.0051903382e-01,1.3109293921e-03,1.5678757336e-05,8.3455996355e-04,2.0036873817e+00,1.9916274548e+00,-8.1888120621e-04,8.5023872089e-04
4,1.9976284504e+00,6.0291290283e-03,3.0051273660e-01,1.3107669836e-03,1.7305806978e-05,8.3450335660e-04,2.0036575794e+00,1.9915993214e+00,-8.1719754962e-04,8.5180916358e-04
5,1.9975320101e+00,6.0282945633e-03,3.0049176984e-01,1.3106488402e-03,2.0934676286e-05,8.3440809976e-04,2.0035603046e+00,1.9915037155e+00,-8.1347342348e-04,8.5534277605e-04
6,1.9973205328e+00,6.0266256332e-03,3.0044578964e-01,1.3104247201e-03,2.7764239348e-05,8.3425821504e-04,2.0033471584e+00,1.9912939072e+00,-8.0649397569e-04,8.6202245438e-04
7,1.9969361424e+00,6.0245394707e-03,3.0036220092e-01,1.3102232618e-03,3.9275269955e-05,8.3403300960e-04,2.0029606819e+00,1.9909116030e+00,-7.9475773964e-04,8.7330827955e-04
8,1.9963085651e+00,6.0217380524e-03,3.0022569430e-01,1.3100257070e-03,5.7250901591e-05,8.3370797802e-04,2.0023303032e+00,1.9902868271e+00,-7.7645707643e-04,8.9095887961e-04
9,1.9953572750e+00,6.0179233551e-03,3.0001869359e-01,1.3098199820e-03,8.3777529653e-05,8.3325582091e-04,2.0013751984e+00,1.9893393517e+00,-7.4947829125e-04,9.1703335056e-04
10,1.9939896464e+00,6.0129761696e-03,2.9972092431e-01,1.3096408452e-03,1.2125654030e-04,8.3264193381e-04,2.0000026226e+00,1.9879766703e+00,-7.1138539352e-04,9.5389847411e-04
11,1.9921015501e+00,6.0065984726e-03,2.9930949921e-01,1.3094917159e-03,1.7242060858e-04,8.3183046081e-04,1.9981081486e+00,1.9860949516e+00,-6.5940985223e-04,1.0042510694e-03
12,1.9895774126e+00,5.9983730316e-03,2.9875886801e-01,1.3093575473e-03,2.4034761009e-04,8.3077963791e-04,1.9955757856e+00,1.9835790396e+00,-5.9043202782e-04,1.0711272480e-03
13,1.9862892032e+00,5.9879422188e-03,2.9804050847e-01,1.3092444632e-03,3.2848291448e-04,8.2944161841e-04,1.9922771454e+00,1.9803012609e+00,-5.0095870392e-04,1.1579245329e-03
14,1.9820972085e+00,5.9755444527e-03,2.9712297628e-01,1.3092969574e-03,4.4065152179e-04,8.2776477211e-04,1.9880727530e+00,1.9761216640e+00,-3.8711325033e-04,1.2684162939e-03
15,1.9768504500e+00,5.9601664543e-03,2.9597184201e-01,1.3093935586e-03,5.8109681413e-04,8.2569108054e-04,1.9828106165e+00,1.9708902836e+00,-2.4459426641e-04,1.4067878947e-03
