step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
120,1.8704370117e+02,0.0000000000e+00,2.2719430876e+00,0.0000000000e+00,1.8704370260e+00,0.0000000000e+00,1.0575669818e-02,0.0000000000e+00,1.8704370117e+02,1.8704370260e+00,1.0575669818e-02
125,1.8650241089e+02,0.0000000000e+00,2.2706844502e+00,0.0000000000e+00,1.8650242090e+00,0.0000000000e+00,1.0997178964e-02,0.0000000000e+00,1.8650241089e+02,1.8650242090e+00,1.0997178964e-02
130,1.8595651245e+02,0.0000000000e+00,2.2694113925e+00,0.0000000000e+00,1.8595652580e+00,0.0000000000e+00,1.1431455612e-02,0.0000000000e+00,1.8595651245e+02,1.8595652580e+00,1.1431455612e-02
135,1.8542684937e+02,0.0000000000e+00,2.2681726192e+00,0.0000000000e+00,1.8542685509e+00,0.0000000000e+00,1.1854643933e-02,0.0000000000e+00,1.8542684937e+02,1.8542685509e+00,1.1854643933e-02
140,1.8488583374e+02,0.0000000000e+00,2.2669036361e+00,0.0000000000e+00,1.8488583565e+00,0.0000000000e+00,1.2285635807e-02,0.0000000000e+00,1.8488583374e+02,1.8488583565e+00,1.2285635807e-02
145,1.8435696411e+02,0.0000000000e+00,2.2656595478e+00,0.0000000000e+00,1.8435696363e+00,0.0000000000e+00,1.2728048488e-02,0.0000000000e+00,1.8435696411e+02,1.8435696363e+00,1.2728048488e-02
150,1.8382795715e+02,0.0000000000e+00,2.2644115610e+00,0.0000000000e+00,1.8382796049e+00,0.0000000000e+00,1.3176225126e-02,0.0000000000e+00,1.8382795715e+02,1.8382796049e+00,1.3176225126e-02
155,1.8329284668e+02,0.0000000000e+00,2.2631455162e+00,0.0000000000e+00,1.8329285383e+00,0.0000000000e+00,1.3609786518e-02,0.0000000000e+00,1.8329284668e+02,1.8329285383e+00,1.3609786518e-02
160,1.8276654053e+02,0.0000000000e+00,2.2618966914e+00,0.0000000000e+00,1.8276654482e+00,0.0000000000e+00,1.4016821980e-02,0.0000000000e+00,1.8276654053e+02,1.8276654482e+00,1.4016821980e-02
165,1.8223097229e+02,0.0000000000e+00,2.2606221923e+00,0.0000000000e+00,1.8223097324e+00,0.0000000000e+00,1.4448558912e-02,0.0000000000e+00,1.8223097229e+02,1.8223097324e+00,1.4448558912e-02
170,1.8170237732e+02,0.0000000000e+00,2.2593606095e+00,0.0000000000e+00,1.8170237541e+00,0.0000000000e+00,1.4876225963e-02,0.0000000000e+00,1.8170237732e+02,1.8170237541e+00,1.4876225963e-02
175,1.8115141296e+02,0.0000000000e+00,2.2580417258e+00,0.0000000000e+00,1.8115141392e+00,0.0000000000e+00,1.5329174697e-02,0.0000000000e+00,1.8115141296e+02,1.8115141392e+00,1.5329174697e-02
