step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,qy_mean,qy_std,loss_replica_1,qy_replica_1
1,1.1940605640e+00,0.0000000000e+00,7.7026355237e-02,0.0000000000e+00,-5.3246948868e-02,0.0000000000e+00,1.1940605640e+00,-5.3246948868e-02
2,1.1940621138e+00,0.0000000000e+00,7.7026918889e-02,0.0000000000e+00,-5.3245145828e-02,0.0000000000e+00,1.1940621138e+00,-5.3245145828e-02
3,1.1940647364e+00,0.0000000000e+00,7.7027872760e-02,0.0000000000e+00,-5.3237866610e-02,0.0000000000e+00,1.1940647364e+00,-5.3237866610e-02
