replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,566.8850,1.4889855683e-01,651,8.3319890499e-01
2,101,566.0723,1.4483407140e-01,641,8.3328610659e-01
3,102,565.5004,1.5829300880e-01,2795,8.1852352619e-01
