step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,mse_replica_1,cosine_similarity_replica_1
0,1.0040653992e+02,0.0000000000e+00,2.0017620012e+00,0.0000000000e+00,1.0040653944e+00,0.0000000000e+00,-3.0342309401e-05,0.0000000000e+00,1.0040653992e+02,1.0040653944e+00,-3.0342309401e-05
100,1.0447372437e+02,0.0000000000e+00,2.0190070771e+00,0.0000000000e+00,1.0447373390e+00,0.0000000000e+00,1.2099351734e-01,0.0000000000e+00,1.0447372437e+02,1.0447373390e+00,1.2099351734e-01
200,6.8681709290e+01,0.0000000000e+00,1.8368410950e+00,0.0000000000e+00,6.8681710958e-01,0.0000000000e+00,2.1896943450e-01,0.0000000000e+00,6.8681709290e+01,6.8681710958e-01,2.1896943450e-01
300,5.1503074646e+01,0.0000000000e+00,1.7118331565e+00,0.0000000000e+00,5.1503074169e-01,0.0000000000e+00,2.9625120759e-01,0.0000000000e+00,5.1503074646e+01,5.1503074169e-01,2.9625120759e-01
400,4.1182643890e+01,0.0000000000e+00,1.6147142245e+00,0.0000000000e+00,4.1182643175e-01,0.0000000000e+00,3.6077484488e-01,0.0000000000e+00,4.1182643890e+01,4.1182643175e-01,3.6077484488e-01
500,3.4328872681e+01,0.0000000000e+00,1.5356595419e+00,0.0000000000e+00,3.4328874946e-01,0.0000000000e+00,4.1442522407e-01,0.0000000000e+00,3.4328872681e+01,3.4328874946e-01,4.1442522407e-01
600,2.9314283371e+01,0.0000000000e+00,1.4670792817e+00,0.0000000000e+00,2.9314282537e-01,0.0000000000e+00,4.5925921202e-01,0.0000000000e+00,2.9314283371e+01,2.9314282537e-01,4.5925921202e-01
700,2.5642866135e+01,0.0000000000e+00,1.4089665652e+00,0.0000000000e+00,2.5642865896e-01,0.0000000000e+00,4.9722439051e-01,0.0000000000e+00,2.5642866135e+01,2.5642865896e-01,4.9722439051e-01
800,2.2716146469e+01,0.0000000000e+00,1.3563346603e+00,0.0000000000e+00,2.2716145217e-01,0.0000000000e+00,5.3036326170e-01,0.0000000000e+00,2.2716146469e+01,2.2716145217e-01,5.3036326170e-01
900,2.0374397278e+01,0.0000000000e+00,1.3090847702e+00,0.0000000000e+00,2.0374396443e-01,0.0000000000e+00,5.5887335539e-01,0.0000000000e+00,2.0374397278e+01,2.0374396443e-01,5.5887335539e-01
1000,1.8458068848e+01,0.0000000000e+00,1.2661862616e+00,0.0000000000e+00,1.8458068371e-01,0.0000000000e+00,5.8425897360e-01,0.0000000000e+00,1.8458068848e+01,1.8458068371e-01,5.8425897360e-01
1100,1.6830442429e+01,0.0000000000e+00,1.2260955326e+00,0.0000000000e+00,1.6830442846e-01,0.0000000000e+00,6.0757416487e-01,0.0000000000e+00,1.6830442429e+01,1.6830442846e-01,6.0757416487e-01
1200,1.5485879898e+01,0.0000000000e+00,1.1899358867e+00,0.0000000000e+00,1.5485879779e-01,0.0000000000e+00,6.2834209204e-01,0.0000000000e+00,1.5485879898e+01,1.5485879779e-01,6.2834209204e-01
1300,1.4285821915e+01,0.0000000000e+00,1.1549052320e+00,0.0000000000e+00,1.4285822213e-01,0.0000000000e+00,6.4763361216e-01,0.0000000000e+00,1.4285821915e+01,1.4285822213e-01,6.4763361216e-01
1400,1.3251810074e+01,0.0000000000e+00,1.1222752029e+00,0.0000000000e+00,1.3251809776e-01,0.0000000000e+00,6.6508793831e-01,0.0000000000e+00,1.3251810074e+01,1.3251809776e-01,6.6508793831e-01
1500,1.2352605820e+01,0.0000000000e+00,1.0917585830e+00,0.0000000000e+00,1.2352605164e-01,0.0000000000e+00,6.8135124445e-01,0.0000000000e+00,1.2352605820e+01,1.2352605164e-01,6.8135124445e-01
1600,1.1508843422e+01,0.0000000000e+00,1.0610316815e+00,0.0000000000e+00,1.1508844048e-01,0.0000000000e+00,6.9663870335e-01,0.0000000000e+00,1.1508843422e+01,1.1508844048e-01,6.9663870335e-01
1700,1.0764141083e+01,0.0000000000e+00,1.0319793813e+00,0.0000000000e+00,1.0764140636e-01,0.0000000000e+00,7.1112257242e-01,0.0000000000e+00,1.0764141083e+01,1.0764140636e-01,7.1112257242e-01
1800,1.0112566948e+01,0.0000000000e+00,1.0048614098e+00,0.0000000000e+00,1.0112566501e-01,0.0000000000e+00,7.2431582212e-01,0.0000000000e+00,1.0112566948e+01,1.0112566501e-01,7.2431582212e-01
1900,9.5093355179e+00,0.0000000000e+00,9.7815017088e-01,0.0000000000e+00,9.5093362033e-02,0.0000000000e+00,7.3708546162e-01,0.0000000000e+00,9.5093355179e+00,9.5093362033e-02,7.3708546162e-01
2000,8.9623603821e+00,0.0000000000e+00,9.5242240318e-01,0.0000000000e+00,8.9623600245e-02,0.0000000000e+00,7.4905830622e-01,0.0000000000e+00,8.9623603821e+00,8.9623600245e-02,7.4905830622e-01
2100,8.4420490265e+00,0.0000000000e+00,9.2644786995e-01,0.0000000000e+00,8.4420494735e-02,0.0000000000e+00,7.6081222296e-01,0.0000000000e+00,8.4420490265e+00,8.4420494735e-02,7.6081222296e-01
2200,7.9559226036e+00,0.0000000000e+00,9.0069054959e-01,0.0000000000e+00,7.9559221864e-02,0.0000000000e+00,7.7201265097e-01,0.0000000000e+00,7.9559226036e+00,7.9559221864e-02,7.7201265097e-01
2300,7.5291643143e+00,0.0000000000e+00,8.7674677516e-01,0.0000000000e+00,7.5291641057e-02,0.0000000000e+00,7.8264462948e-01,0.0000000000e+00,7.5291643143e+00,7.5291641057e-02,7.8264462948e-01
