step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
26,9.9967636665e-01,5.3391213883e-04,-1.4063687018e-04,2.3195495914e-04,5.0035302838e-01,5.8626905918e-04,1.0003161430e+00,9.9970376492e-01,9.9900919199e-01,5.0025004148e-01,4.9969205260e-01,5.0111699104e-01
27,9.9959973494e-01,5.3423846346e-04,-1.7392973232e-04,2.3211442607e-04,5.0037240982e-01,5.8622004777e-04,1.0002402067e+00,9.9962657690e-01,9.9893242121e-01,5.0026929379e-01,4.9971157312e-01,5.0113636255e-01
28,9.9951783816e-01,5.3456411923e-04,-2.0951283830e-04,2.3227484334e-04,5.0039298336e-01,5.8624873504e-04,1.0001590252e+00,9.9954408407e-01,9.9885040522e-01,5.0028967857e-01,4.9973222613e-01,5.0115704536e-01
29,9.9943045775e-01,5.3498740381e-04,-2.4748174310e-04,2.3247898673e-04,5.0041473905e-01,5.8628864637e-04,1.0000724792e+00,9.9945610762e-01,9.9876278639e-01,5.0031125546e-01,4.9975404143e-01,5.0117892027e-01
30,9.9933737516e-01,5.3528342967e-04,-2.8793199811e-04,2.3262914294e-04,5.0043788552e-01,5.8620962737e-04,9.9998021126e-01,9.9936217070e-01,9.9866974354e-01,5.0033420324e-01,4.9977740645e-01,5.0120204687e-01
31,9.9923835198e-01,5.3565803053e-04,-3.3096796715e-04,2.3281490018e-04,5.0046240290e-01,5.8617893089e-04,9.9988198280e-01,9.9926251173e-01,9.9857056141e-01,5.0035852194e-01,4.9980208278e-01,5.0122660398e-01
32,9.9913297097e-01,5.3614900319e-04,-3.7677178648e-04,2.3305271614e-04,5.0048827132e-01,5.8613295388e-04,9.9977767467e-01,9.9915623665e-01,9.9846500158e-01,5.0038409233e-01,4.9982818961e-01,5.0125253201e-01
33,9.9902129173e-01,5.3668775042e-04,-4.2531840421e-04,2.3331280772e-04,5.0051559011e-01,5.8610234767e-04,9.9966716766e-01,9.9904358387e-01,9.9835312366e-01,5.0041121244e-01,4.9985566735e-01,5.0127989054e-01
34,9.9890297651e-01,5.3737494539e-04,-4.7675561155e-04,2.3363906454e-04,5.0054433942e-01,5.8601532941e-04,9.9955016375e-01,9.9892437458e-01,9.9823439121e-01,5.0043958426e-01,4.9988475442e-01,5.0130867958e-01
35,9.9877770742e-01,5.3806141969e-04,-5.3122262769e-04,2.3396669987e-04,5.0057462851e-01,5.8599600809e-04,9.9942624569e-01,9.9879813194e-01,9.9810874462e-01,5.0046968460e-01,4.9991518259e-01,5.0133901834e-01
