step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,qy_mean,qy_std,loss_replica_1,mse_replica_1,qy_replica_1
0,1.4297970581e+02,0.0000000000e+00,2.1552743991e+00,0.0000000000e+00,1.9858293533e+00,0.0000000000e+00,-5.3246941417e-02,0.0000000000e+00,1.4297970581e+02,1.9858293533e+00,-5.3246941417e-02
1,4.2300268555e+02,0.0000000000e+00,2.6263431246e+00,0.0000000000e+00,5.8750376701e+00,0.0000000000e+00,-3.2940465212e-01,0.0000000000e+00,4.2300268555e+02,5.8750376701e+00,-3.2940465212e-01
2,6.5251312256e+02,0.0000000000e+00,2.8145892501e+00,0.0000000000e+00,9.0626821518e+00,0.0000000000e+00,-4.4497641921e-01,0.0000000000e+00,6.5251312256e+02,9.0626821518e+00,-4.4497641921e-01
3,7.8550653076e+02,0.0000000000e+00,2.8951498001e+00,0.0000000000e+00,1.0909812927e+01,0.0000000000e+00,-4.1546571255e-01,0.0000000000e+00,7.8550653076e+02,1.0909812927e+01,-4.1546571255e-01
