step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
1,1.9964772860e+00,2.5950007349e-03,3.0026400653e-01,5.6470775321e-04,-8.4045386757e-05,4.7748877004e-04,1.9928778410e+00,1.9988967180e+00,1.9976572990e+00,5.5450946093e-04,-2.1311485034e-04,-5.9353077086e-04
2,1.9866635402e+00,2.3229545754e-03,2.9812402457e-01,5.0794209228e-04,4.9715078421e-04,4.4053720052e-04,1.9835214615e+00,1.9890650511e+00,1.9874041080e+00,1.0866422672e-03,3.7700281246e-04,2.7807273000e-05
3,1.9747494062e+00,2.2587702791e-03,2.9551170772e-01,4.9686352488e-04,1.1932665366e-03,4.3671310241e-04,1.9717366695e+00,1.9771753550e+00,1.9753361940e+00,1.7783894436e-03,1.0718801059e-03,7.2953006020e-04
4,1.9599311352e+00,2.2124742527e-03,2.9224053536e-01,4.9029960325e-04,2.0930748045e-03,4.2608877255e-04,1.9571095705e+00,1.9625130892e+00,1.9601707458e+00,2.6616286486e-03,1.9816774875e-03,1.6359182773e-03
5,1.9420995712e+00,2.1005514672e-03,2.8827123834e-01,4.6974204605e-04,3.2002296454e-03,4.1252006767e-04,1.9394890070e+00,1.9446325302e+00,1.9421771765e+00,3.7577275652e-03,3.0703304801e-03,2.7726308908e-03
6,1.9211962223e+00,2.0601367780e-03,2.8357147434e-01,4.6566279383e-04,4.5474460348e-03,3.9676428843e-04,1.9187915325e+00,1.9238231182e+00,1.9209740162e+00,5.0842869096e-03,4.4203912839e-03,4.1376599111e-03
7,1.8972490629e+00,2.0852162766e-03,2.7812408474e-01,4.7722430891e-04,6.1416113749e-03,3.7923846981e-04,1.8950093985e+00,1.9000302553e+00,1.8967075348e+00,6.6602700390e-03,6.0005090199e-03,5.7640550658e-03
8,1.8701679309e+00,2.1024608022e-03,2.7188033125e-01,4.8808048649e-04,8.0041396432e-03,3.5770467603e-04,1.8681840897e+00,1.8730778694e+00,1.8692418337e+00,8.4940036759e-03,7.8685414046e-03,7.6498738490e-03
9,1.8401368856e+00,2.1796477667e-03,2.6484982637e-01,5.1421544141e-04,1.0118654619e-02,3.4034191547e-04,1.8383684158e+00,1.8432075977e+00,1.8388346434e+00,1.0589127429e-02,9.9713979289e-03,9.7954384983e-03
10,1.8072306712e+00,2.3012347057e-03,2.5701323669e-01,5.5276041601e-04,1.2518096715e-02,3.1603664031e-04,1.8056715727e+00,1.8104841709e+00,1.8055362701e+00,1.2957421131e-02,1.2369598262e-02,1.2227270752e-02
