replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,187.4215,7.9035632312e-02,232,9.2930746078e-01
2,101,185.2728,7.4790813029e-02,514,9.3193036318e-01
3,102,185.0712,5.3435400128e-02,516,9.4519120455e-01
