alpha,Q_Y_mean,Q_Y_std,Loss_mean,Loss_std,Steps_mean,qy_replica_0,qy_replica_1,qy_replica_2,qy_replica_3,qy_replica_4,qy_replica_5,qy_replica_6,qy_replica_7,qy_replica_8,qy_replica_9
0.5,0.0001602648533662432,0.000457411683854016,7854.906420898437,7732.887983629092,500.0,0.0004339072329457849,3.44461077474989e-05,1.5022460502223112e-05,-0.0008498916286043823,-9.168762335320935e-05,0.00027446832973510027,-0.00012982625048607588,0.000711103028152138,0.00037375648389570415,0.00083135039312765
1.0,-0.00010883539816859411,0.0010792341490845575,6535.340246582031,5174.946561400467,500.0,-0.0014651736710220575,0.00019753666128963232,-0.0005240993923507631,-0.000447366590378806,0.00011072566849179566,0.00022901948250364512,-0.002093733986839652,-2.0054389096912928e-05,0.0010269054910168052,0.0018978867447003722
1.5,-0.0001621488409000449,0.0009695271050160552,6604.475372314453,6626.473815547166,500.0,0.00024663485237397254,0.00018613187421578914,0.0006951853283680975,0.0007121534436009824,-0.0001922381343320012,-0.0004938642377965152,0.0008917773375287652,-0.00031740867416374385,-0.0007291031070053577,-0.0026207570917904377
2.0,-0.0005044410634582163,0.0016174925063876674,14550.367980957031,10674.246173644944,500.0,-3.67971915693488e-05,0.0005754904123023152,-0.0005238951998762786,-0.00032122008269652724,7.14713751222007e-05,0.00044173700734972954,-2.2333741071633995e-05,0.0017081113765016198,-0.004108035936951637,-0.002828938653692603
2.5,-6.715690906275996e-05,0.0009262708556146063,16679.360412597656,13964.479952661237,500.0,-9.511854295851663e-05,0.00037999331834726036,0.0004865456430707127,-0.0003486134810373187,-0.00042031239718198776,-0.0009226789115928113,-0.00026418804191052914,-0.00043583184015005827,0.002259741770103574,-0.0013111066073179245
3.0,-8.974926968221552e-05,0.0011318110739021666,17324.875244140625,16561.170834623797,500.0,0.00028290445334278047,-0.0004286268085706979,0.0008445372804999352,0.0017503183335065842,0.00011896171781700104,-0.00022289091430138797,-9.504517947789282e-05,-0.0029421914368867874,0.0001202450439450331,-0.0003257051866967231
3.5,0.00035180873674107717,0.0004053313316411593,78859.1784362793,197020.23946019364,500.0,-0.0001013573637465015,0.00018544118211138994,0.0005377702182158828,4.0371494833379984e-05,0.0010934935417026281,0.0001424157526344061,-0.00016380932356696576,0.0009461010922677815,0.0002509741752874106,0.0005866865976713598
4.0,-0.00012290718211716012,0.0003937111935171109,25070.443920898437,20523.110860718974,500.0,-0.00030427033198066056,0.00040729084867052734,-0.0005449805175885558,0.00021688960259780288,-0.0009160724584944546,-2.575302232799004e-06,0.000345623935572803,7.275135430973023e-05,-0.00031439520535059273,-0.00018933374667540193
4.5,4.536178021226078e-05,0.0004611981645229941,9327.3705078125,6590.314363279634,500.0,0.00027178809978067875,-0.0001317295100307092,0.00037850288208574057,-0.0006833156803622842,-0.0006185322999954224,0.0003134177241008729,0.0004227213794365525,-0.0002474194916430861,0.0008461068500764668,-9.792215132620186e-05
5.0,0.00023447156272595748,0.0008432856546051883,8332.053424072266,13030.812891698355,500.0,8.399201760767028e-05,-0.00037053183768875897,0.0024646976962685585,-0.00028981591458432376,9.72654961515218e-05,-0.0005715296138077974,0.000242168694967404,-0.0002769705024547875,0.0009412488434463739,2.419074735371396e-05
