step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,3.9441514492e+06,2.7916431427e+03,6.5959534740e+00,3.0739068476e-04,6.0391403735e-02,8.2191079855e-05,3.9469430923e+06,3.9413598061e+06,6.0309212655e-02,6.0473594815e-02
2,2.5203692436e+06,1.3858795166e+03,6.4014641056e+00,2.3880623398e-04,2.9792557657e-01,1.7766803503e-03,2.5217551231e+06,2.5189833641e+06,2.9970225692e-01,2.9614889622e-01
3,3.8004454136e+06,5.7104587555e+03,6.5798340088e+00,6.5256103513e-04,2.7869667113e-01,2.0612776279e-04,3.8061558723e+06,3.7947349548e+06,2.7890279889e-01,2.7849054337e-01
4,3.2749043941e+06,8.6882114410e+03,6.5151970976e+00,1.1521713872e-03,2.8276991099e-02,2.8691440821e-04,3.2835926056e+06,3.2662161827e+06,2.7990076691e-02,2.8563905507e-02
5,3.6827509403e+06,5.2054882050e+03,6.5661719152e+00,6.1386619547e-04,2.8826801479e-01,5.3225457668e-04,3.6879564285e+06,3.6775454521e+06,2.8880026937e-01,2.8773576021e-01
6,2.9845310211e+06,7.0844650269e+03,6.4748748738e+00,1.0308989337e-03,3.8798691332e-01,4.8850476742e-04,2.9916154861e+06,2.9774465561e+06,3.8847541809e-01,3.8749840856e-01
7,4.7615128040e+06,7.6648235321e+03,6.6777443938e+00,6.9910416648e-04,7.7312432230e-02,1.4772266150e-04,4.7691776276e+06,4.7538479805e+06,7.7164709568e-02,7.7460154891e-02
8,3.2985054016e+06,7.6223373413e+03,6.5183160400e+00,1.0035893642e-03,2.9538926482e-01,6.0141086578e-04,3.3061277390e+06,3.2908830643e+06,2.9599067569e-01,2.9478785396e-01
9,6.1140744209e+06,1.2115573883e+04,6.7863298680e+00,8.6059367409e-04,2.6087911800e-02,2.0346920937e-03,6.1019588470e+06,6.1261899948e+06,2.8122603893e-02,2.4053219706e-02
10,5.6801965714e+06,4.4294357300e+03,6.7543632333e+00,3.3866431579e-04,-4.3418840505e-03,8.0428551883e-05,5.6846260071e+06,5.6757671356e+06,-4.2614554986e-03,-4.4223126024e-03
11,4.5532896996e+06,1.9581699371e+04,6.6583212667e+00,1.8677213560e-03,4.3415540829e-02,1.1315010488e-04,4.5728713989e+06,4.5337080002e+06,4.3302390724e-02,4.3528690934e-02
12,6.3587353706e+06,1.7538356781e+04,6.8033690995e+00,1.1978531017e-03,-1.1353006586e-02,8.2859862596e-04,6.3411970139e+06,6.3762737274e+06,-1.0524407960e-02,-1.2181605212e-02
