step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,cosine_similarity_replica_1,cosine_similarity_replica_2
1,5.7191807032e-01,1.8073856831e-02,-2.4288315408e-01,1.3729223317e-02,7.2798338532e-01,2.1916896105e-02,5.8999192715e-01,5.5384421349e-01,7.4990028143e-01,7.0606648922e-01
2,1.1586518884e+00,4.9556118250e-01,2.0082194414e-02,1.9850925369e-01,6.2020465732e-01,1.0924980044e-01,6.6309070587e-01,1.6542130709e+00,7.2945445776e-01,5.1095485687e-01
3,2.5070855021e+00,1.0691991448e+00,3.5557832070e-01,1.9785375757e-01,3.2673557475e-01,2.3696212098e-01,1.4378863573e+00,3.5762846470e+00,5.6369769573e-01,8.9773453772e-02
4,2.8939809799e+00,2.6824784279e-01,4.5962193893e-01,4.0371353875e-02,2.2148343921e-01,1.3997817039e-01,2.6257331371e+00,3.1622288227e+00,3.6146160960e-01,8.1505268812e-02
5,2.8694664240e+00,1.1702775955e-03,4.5780111126e-01,1.7712182514e-04,2.0479488745e-01,1.3152101263e-01,2.8706367016e+00,2.8682961464e+00,3.3631590009e-01,7.3273874819e-02
