alpha,Q_Y_mean,Q_Y_std,Loss_mean,Loss_std,Steps_mean,qy_replica_0,loss_replica_0
0.5,0.15878573060035706,0.0,6.084461006139463e-07,0.0,201.0,0.15878573060035706,6.084461006139463e-07
1.5,0.6592704057693481,0.0,2.217510223388672,0.0,3000.0,0.6592704057693481,2.217510223388672
2.5,0.994881272315979,0.0,3.1533968467556406e-06,0.0,3000.0,0.994881272315979,3.1533968467556406e-06
3.5,0.994881272315979,0.0,4.6327295422088355e-06,0.0,3000.0,0.994881272315979,4.6327295422088355e-06
4.5,0.994881272315979,0.0,4.631381671060808e-06,0.0,3000.0,0.994881272315979,4.631381671060808e-06
