alpha,lr,num_observed,effective_epochs,cosine_similarity_mean,cosine_similarity_std,Loss_mean,Loss_std,Steps_mean,cosine_similarity_replica_0,loss_replica_0,cosine_similarity_replica_1,loss_replica_1,cosine_similarity_replica_2,loss_replica_2,cosine_similarity_replica_3,loss_replica_3,cosine_similarity_replica_4,loss_replica_4,cosine_similarity_replica_5,loss_replica_5,cosine_similarity_replica_6,loss_replica_6,cosine_similarity_replica_7,loss_replica_7,cosine_similarity_replica_8,loss_replica_8,cosine_similarity_replica_9,loss_replica_9
0.0,0.001,1000,40000.0,0.0006784900557249785,0.0010429060329891766,1000139.9,3000419.7,1090.9,0.0012921118177473545,1.04539022837552e-12,-0.0006481015589088202,10001399.0,-0.0012806645827367902,1.0154972565970533e-12,0.0008218932780437171,9.732186844607638e-13,0.0007750432123430073,1.0683358494731343e-12,0.0004129519802518189,9.67181196243061e-13,0.002716162009164691,1.0544416902125153e-12,0.0014682593755424023,1.0183916427167206e-12,0.0007063868106342852,1.1005378466183435e-12,0.0005208582151681185,9.186866762114776e-13
0.2,0.001,20000,2000.0,0.020503648184239866,0.001022013798969379,2.1316784604152873e-08,2.1577664418102293e-09,301.0,0.02079552598297596,1.910425950768513e-08,0.021358231082558632,1.9956782892904812e-08,0.018204759806394577,2.0106574183387238e-08,0.020899314433336258,2.1002447780915645e-08,0.020326122641563416,2.152264677590665e-08,0.02117883786559105,2.69255888696307e-08,0.021885665133595467,1.9017537766785608e-08,0.020813332870602608,2.2053217918482915e-08,0.019209103658795357,2.1208293787822186e-08,0.02036558836698532,2.2270496558007835e-08
0.4,0.001,40000,1000.0,0.04187261499464512,0.000734442250598889,3.134255712211598e-06,1.5090909746707623e-07,651.0,0.0421275794506073,3.39395819537458e-06,0.04239676520228386,3.057462208744255e-06,0.04014239460229874,3.26975555253739e-06,0.041348617523908615,3.3601791074033827e-06,0.04161906614899635,2.9453201477736e-06,0.04294415935873985,3.05314279103186e-06,0.04209493473172188,3.1083536669029854e-06,0.042561907321214676,3.073607558690128e-06,0.04165412858128548,3.142232799291378e-06,0.04183659702539444,2.938545094366418e-06
0.6000000000000001,0.002,60000,666.6666666666666,0.06495324075222016,0.0010696228295465082,6.110856929808506e-06,2.818672751278298e-07,801.0,0.06550531089305878,6.672877589153359e-06,0.06635595858097076,6.35023843642557e-06,0.0627262145280838,6.111312359280419e-06,0.06423155218362808,5.9807393881783355e-06,0.06463880836963654,5.736761977459537e-06,0.06628687679767609,6.107032731961226e-06,0.06430738419294357,5.7752345128392335e-06,0.0660695731639862,6.420132194762118e-06,0.06481578201055527,5.87621480008238e-06,0.06459494680166245,6.07802530794288e-06
0.8,0.002,80000,500.0,0.09252984300255776,0.0015976801951335252,1.7931512866198317e-05,2.0263033270293707e-06,1511.0,0.09437649697065353,1.8802951672114432e-05,0.09248050302267075,1.3921412573836278e-05,0.08897087723016739,1.3917850083089434e-05,0.09281495958566666,1.8783481209538877e-05,0.09274981915950775,1.8625756638357416e-05,0.0928172767162323,1.8938393623102456e-05,0.09145906567573547,1.9275041267974302e-05,0.09522300958633423,1.9452394553809427e-05,0.09276071935892105,1.843514655774925e-05,0.09164570271968842,1.916270048241131e-05
1.0,0.002,100000,400.0,0.1279219001531601,0.0016331792676094919,4.618775819835719e-05,2.3513615152149747e-06,2931.0,0.13047394156455994,4.470830754144117e-05,0.12822090089321136,4.8898673412622884e-05,0.1257912963628769,4.355083001428284e-05,0.12575912475585938,4.359758895589039e-05,0.12848398089408875,4.906988760922104e-05,0.12661395967006683,4.326520866015926e-05,0.1274418979883194,4.9866957851918414e-05,0.12941382825374603,4.693305163527839e-05,0.13019506633281708,4.6726145228603855e-05,0.1268250048160553,4.526093107415363e-05
1.2000000000000002,0.002,120000,333.3333333333333,0.17723993211984634,0.0022210361325503696,0.00013362526515265928,3.885702884742089e-06,6256.0,0.18198126554489136,0.00013448837853502482,0.1767539232969284,0.00013124833640176803,0.17692714929580688,0.00013615237548947334,0.17417873442173004,0.0001348673686152324,0.17832572758197784,0.00013565627159550786,0.17742234468460083,0.0001344324555248022,0.17413535714149475,0.0001243331644218415,0.1793469339609146,0.00013264328299555928,0.17743569612503052,0.00014016267959959805,0.1758921891450882,0.00013226833834778517
1.4000000000000001,0.002,140000,285.7142857142857,0.2467987835407257,0.0030332247730344517,0.006280313525348902,0.00036330044758133836,10000.0,0.24711906909942627,0.006038568913936615,0.24556829035282135,0.006894073449075222,0.24498629570007324,0.0062982793897390366,0.24235671758651733,0.006296137347817421,0.24817253649234772,0.006335670594125986,0.24550504982471466,0.00673318887129426,0.2458224594593048,0.006619003601372242,0.2545178532600403,0.00570346973836422,0.2457020878791809,0.005934381391853094,0.2482374757528305,0.005950361955910921
1.6,0.003,160000,250.0,0.33521944284439087,0.0026862072266646254,0.15952970534563066,0.0037137892327895414,9990.1,0.3307610750198364,0.16222484409809113,0.3349197208881378,0.1610865592956543,0.3348958194255829,0.15912315249443054,0.3352857828140259,0.16294243931770325,0.3397893011569977,0.15276461839675903,0.3325171172618866,0.1642020046710968,0.3336089551448822,0.16262619197368622,0.3392854630947113,0.1574781984090805,0.33707043528556824,0.1592302918434143,0.33406075835227966,0.15361875295639038
1.8,0.003,180000,222.22222222222223,0.4285416781902313,0.0029319840154831615,0.7306251287460327,0.010145972885078663,10000.0,0.42746785283088684,0.7456502318382263,0.42422348260879517,0.7331701517105103,0.4289093613624573,0.7259893417358398,0.4249800443649292,0.7271747589111328,0.43217238783836365,0.7331785559654236,0.42569324374198914,0.7444091439247131,0.43309250473976135,0.7116316556930542,0.43190598487854004,0.7204766273498535,0.4285712242126465,0.7392855882644653,0.4284006953239441,0.7252852320671082
2.0,0.003,200000,200.0,0.5351209461688995,0.0036438661967613407,1.5610991716384888,0.035826684015049855,9935.1,0.5347816348075867,1.537206768989563,0.5423734784126282,1.504872441291809,0.5339813828468323,1.5645391941070557,0.5355310440063477,1.5359987020492554,0.5358092188835144,1.5556702613830566,0.5352851152420044,1.562192678451538,0.5401841998100281,1.539860725402832,0.5325084924697876,1.5776196718215942,0.5298149585723877,1.5885449647903442,0.5309399366378784,1.6444863080978394
2.2,0.003,220000,181.8181818181818,0.6654511868953705,0.007813272242344755,2.2081737756729125,0.11736598611325977,9785.1,0.6685448884963989,2.1590514183044434,0.6650272011756897,2.1922645568847656,0.6437891125679016,2.5538041591644287,0.6660014390945435,2.192059278488159,0.6642190217971802,2.1813058853149414,0.6740307211875916,2.112764358520508,0.671988308429718,2.1553332805633545,0.6652266979217529,2.184299945831299,0.6668862104415894,2.17930269241333,0.6687982678413391,2.1715521812438965
2.4000000000000004,0.003,240000,166.66666666666666,0.8599721848964691,0.005149455404796347,1.6571154594421387,0.0637908547749749,10000.0,0.8649753332138062,1.594647765159607,0.8656404614448547,1.587269902229309,0.855259120464325,1.7207458019256592,0.8585001230239868,1.6620110273361206,0.852032482624054,1.7712836265563965,0.8594457507133484,1.6467996835708618,0.8683650493621826,1.5738170146942139,0.8619468808174133,1.6238144636154175,0.8603540062904358,1.6522421836853027,0.8532026410102844,1.7385231256484985
2.6,0.003,260000,153.84615384615384,0.9971023678779602,0.0006106961156014014,0.045540638454258445,0.010803410668186662,10000.0,0.9974117875099182,0.0403764471411705,0.9965631365776062,0.05543786287307739,0.9967659711837769,0.050228722393512726,0.997782289981842,0.03373967856168747,0.9980171322822571,0.029541591182351112,0.9970352053642273,0.04641886427998543,0.9978680610656738,0.03215113654732704,0.9962531328201294,0.06121086701750755,0.9963217973709106,0.05962645635008812,0.9970051646232605,0.046674758195877075
2.8000000000000003,0.003,280000,142.85714285714286,0.9999392926692963,7.873827719664684e-06,0.001236521580722183,0.00016302638175854715,10000.0,0.9999479651451111,0.001064675278030336,0.9999396800994873,0.0012350125471130013,0.999947190284729,0.0010723820887506008,0.9999487996101379,0.001047629746608436,0.9999406933784485,0.0012018649140372872,0.9999377727508545,0.0012655496830120683,0.99993896484375,0.001235382747836411,0.9999212622642517,0.0016179500380530953,0.9999392032623291,0.0012270096922293305,0.9999313950538635,0.0013977590715512633
3.0,0.003,300000,133.33333333333334,0.9999924898147583,1.613954667670851e-06,0.00022225734574021772,4.424667770585081e-05,9695.8,0.9999890923500061,0.0003168234252370894,0.9999938011169434,0.00018612909479998052,0.9999924898147583,0.0002234429121017456,0.9999932050704956,0.00020317356393206865,0.9999931454658508,0.00020568477339111269,0.9999896287918091,0.00029893501778133214,0.9999938607215881,0.00018602293857838959,0.9999934434890747,0.00019310953211970627,0.9999933242797852,0.00020103930728510022,0.9999929070472717,0.0002082128921756521
