alpha,lr,num_observed,effective_epochs,replica,seed,runtime_sec,final_loss,steps_taken,cosine_similarity
1.0,0.002,100000,400.0,7,106,9.0077,4.9866957852e-05,2901,1.2744189799e-01
1.0,0.002,100000,400.0,8,107,8.9875,4.6933051635e-05,2901,1.2941382825e-01
1.0,0.002,100000,400.0,9,108,8.8854,4.6726145229e-05,2901,1.3019506633e-01
1.0,0.002,100000,400.0,10,109,9.1415,4.5260931074e-05,2951,1.2682500482e-01
1.2000000000000002,0.002,120000,333.3333333333333,1,100,19.0048,1.3448837854e-04,6151,1.8198126554e-01
1.2000000000000002,0.002,120000,333.3333333333333,2,101,19.5805,1.3124833640e-04,6301,1.7675392330e-01
1.2000000000000002,0.002,120000,333.3333333333333,3,102,18.9320,1.3615237549e-04,6251,1.7692714930e-01
1.2000000000000002,0.002,120000,333.3333333333333,4,103,19.4473,1.3486736862e-04,6301,1.7417873442e-01
1.2000000000000002,0.002,120000,333.3333333333333,5,104,19.1654,1.3565627160e-04,6201,1.7832572758e-01
1.2000000000000002,0.002,120000,333.3333333333333,6,105,19.5221,1.3443245552e-04,6301,1.7742234468e-01
1.2000000000000002,0.002,120000,333.3333333333333,7,106,19.7537,1.2433316442e-04,6301,1.7413535714e-01
1.2000000000000002,0.002,120000,333.3333333333333,8,107,18.7968,1.3264328300e-04,6201,1.7934693396e-01
1.2000000000000002,0.002,120000,333.3333333333333,9,108,19.2529,1.4016267960e-04,6201,1.7743569613e-01
1.2000000000000002,0.002,120000,333.3333333333333,10,109,19.5092,1.3226833835e-04,6351,1.7589218915e-01
1.4000000000000001,0.002,140000,285.7142857142857,1,100,28.8355,6.0385689139e-03,10000,2.4711906910e-01
1.4000000000000001,0.002,140000,285.7142857142857,2,101,28.9434,6.8940734491e-03,10000,2.4556829035e-01
1.4000000000000001,0.002,140000,285.7142857142857,3,102,29.4551,6.2982793897e-03,10000,2.4498629570e-01
1.4000000000000001,0.002,140000,285.7142857142857,4,103,29.2668,6.2961373478e-03,10000,2.4235671759e-01
1.4000000000000001,0.002,140000,285.7142857142857,5,104,29.2066,6.3356705941e-03,10000,2.4817253649e-01
1.4000000000000001,0.002,140000,285.7142857142857,6,105,29.1917,6.7331888713e-03,10000,2.4550504982e-01
1.4000000000000001,0.002,140000,285.7142857142857,7,106,29.7354,6.6190036014e-03,10000,2.4582245946e-01
1.4000000000000001,0.002,140000,285.7142857142857,8,107,29.4290,5.7034697384e-03,10000,2.5451785326e-01
1.4000000000000001,0.002,140000,285.7142857142857,9,108,29.1243,5.9343813919e-03,10000,2.4570208788e-01
1.4000000000000001,0.002,140000,285.7142857142857,10,109,29.1098,5.9503619559e-03,10000,2.4823747575e-01
1.6,0.003,160000,250.0,1,100,28.9375,1.6222484410e-01,10000,3.3076107502e-01
1.6,0.003,160000,250.0,2,101,28.8578,1.6108655930e-01,10000,3.3491972089e-01
1.6,0.003,160000,250.0,3,102,29.3114,1.5912315249e-01,10000,3.3489581943e-01
1.6,0.003,160000,250.0,4,103,28.2011,1.6294243932e-01,9901,3.3528578281e-01
1.6,0.003,160000,250.0,5,104,28.3709,1.5276461840e-01,10000,3.3978930116e-01
1.6,0.003,160000,250.0,6,105,29.1761,1.6420200467e-01,10000,3.3251711726e-01
1.6,0.003,160000,250.0,7,106,28.6702,1.6262619197e-01,10000,3.3360895514e-01
1.6,0.003,160000,250.0,8,107,29.5008,1.5747819841e-01,10000,3.3928546309e-01
1.6,0.003,160000,250.0,9,108,28.6824,1.5923029184e-01,10000,3.3707043529e-01
1.6,0.003,160000,250.0,10,109,28.5809,1.5361875296e-01,10000,3.3406075835e-01
1.8,0.003,180000,222.22222222222223,1,100,28.7197,7.4565023184e-01,10000,4.2746785283e-01
1.8,0.003,180000,222.22222222222223,2,101,29.5939,7.3317015171e-01,10000,4.2422348261e-01
1.8,0.003,180000,222.22222222222223,3,102,28.6089,7.2598934174e-01,10000,4.2890936136e-01
1.8,0.003,180000,222.22222222222223,4,103,28.5990,7.2717475891e-01,10000,4.2498004436e-01
1.8,0.003,180000,222.22222222222223,5,104,29.0493,7.3317855597e-01,10000,4.3217238784e-01
1.8,0.003,180000,222.22222222222223,6,105,29.1713,7.4440914392e-01,10000,4.2569324374e-01
1.8,0.003,180000,222.22222222222223,7,106,29.4727,7.1163165569e-01,10000,4.3309250474e-01
1.8,0.003,180000,222.22222222222223,8,107,28.9995,7.2047662735e-01,10000,4.3190598488e-01
1.8,0.003,180000,222.22222222222223,9,108,28.4791,7.3928558826e-01,10000,4.2857122421e-01
1.8,0.003,180000,222.22222222222223,10,109,28.4716,7.2528523207e-01,10000,4.2840069532e-01
2.0,0.003,200000,200.0,1,100,28.3503,1.5372067690e+00,10000,5.3478163481e-01
2.0,0.003,200000,200.0,2,101,28.7040,1.5048724413e+00,10000,5.4237347841e-01
2.0,0.003,200000,200.0,3,102,28.7626,1.5645391941e+00,10000,5.3398138285e-01
2.0,0.003,200000,200.0,4,103,28.7944,1.5359987020e+00,10000,5.3553104401e-01
