replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,191.1624,1.9794801483e-04,18,9.9990367889e-01
2,101,190.5081,1.9794801483e-04,18,9.9990367889e-01
3,102,191.1253,1.9794801483e-04,18,9.9990367889e-01
