step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,mse_mean,mse_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,loss_replica_2,loss_replica_3,mse_replica_1,mse_replica_2,mse_replica_3,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3
0,1.0040652212e+02,6.0503017443e-05,2.0017619242e+00,2.6169744112e-07,1.0040651957e+00,6.4808155816e-07,-4.6415252352e-04,1.4552131999e-03,1.0040653992e+02,1.0040644073e+02,1.0040658569e+02,1.0040653944e+00,1.0040643215e+00,1.0040658712e+00,-3.0342309401e-05,1.0611606995e-03,-2.4232759606e-03
5,1.9912832642e+02,6.5498290085e-01,2.2991306954e+00,1.4280070824e-03,1.9912831783e+00,6.5497973337e-03,8.2214960518e-04,1.4204870000e-03,1.9903317261e+02,1.9837796021e+02,1.9997384644e+02,1.9903316498e+00,1.9837795496e+00,1.9997383356e+00,1.2220984790e-03,2.3270815145e-03,-1.0827311780e-03
10,1.9751464844e+02,6.4711164217e-01,2.2955969806e+00,1.4222512150e-03,1.9751464526e+00,6.4711487586e-03,2.0852453454e-03,1.4214620648e-03,1.9739654541e+02,1.9678778076e+02,1.9835961914e+02,1.9739654064e+00,1.9678777456e+00,1.9835962057e+00,2.4790104944e-03,3.5955661442e-03,1.8115939747e-04
15,1.9592866007e+02,6.4921223154e-01,2.2920955861e+00,1.4382300976e-03,1.9592866500e+00,6.4920932884e-03,3.3354528326e-03,1.4232691541e-03,1.9577412415e+02,1.9522215271e+02,1.9678970337e+02,1.9577412605e+00,1.9522216320e+00,1.9678970575e+00,3.6969815847e-03,4.8694815487e-03,1.4398953645e-03
20,1.9436837260e+02,6.5838631279e-01,2.2886231088e+00,1.4702429012e-03,1.9436837435e+00,6.5838237800e-03,4.5654637894e-03,1.4268771747e-03,1.9421141052e+02,1.9365203857e+02,1.9524166870e+02,1.9421141148e+00,1.9365204573e+00,1.9524166584e+00,4.9149738625e-03,6.1118565500e-03,2.6695609558e-03
25,1.9281375122e+02,6.2960837556e-01,2.2851356898e+00,1.4176012196e-03,1.9281375011e+00,6.2960440137e-03,5.8188194719e-03,1.4037657775e-03,1.9271426392e+02,1.9209721375e+02,1.9362977600e+02,1.9271427393e+00,1.9209721088e+00,1.9362976551e+00,6.0752546415e-03,7.3954532854e-03,3.9857504889e-03
30,1.9127107239e+02,6.0061329260e-01,2.2816471529e+00,1.3631571685e-03,1.9127107064e+00,6.0060934483e-03,7.0722152789e-03,1.3949744916e-03,1.9115904236e+02,1.9059791565e+02,1.9205625916e+02,1.9115904570e+00,1.9059791565e+00,1.9205625057e+00,7.3115536943e-03,8.6484141648e-03,5.2566779777e-03
35,1.8971412659e+02,5.9615739024e-01,2.2780975278e+00,1.3640883722e-03,1.8971412579e+00,5.9615259214e-03,8.3316238597e-03,1.4092818495e-03,1.8959100342e+02,1.8905337524e+02,1.9049800110e+02,1.8959100246e+00,1.8905338049e+00,1.9049799442e+00,8.6047174409e-03,9.9048074335e-03,6.4853467047e-03
40,1.8818283081e+02,5.9121665626e-01,2.2745778554e+00,1.3637303698e-03,1.8818282684e+00,5.9121074091e-03,9.5745565680e-03,1.3820992852e-03,1.8804833984e+02,1.8753541565e+02,1.8896473694e+02,1.8804833889e+00,1.8753541708e+00,1.8896472454e+00,9.8255472258e-03,1.1127766222e-02,7.7703562565e-03
45,1.8667704264e+02,5.9741809853e-01,2.2710886898e+00,1.3890713060e-03,1.8667704662e+00,5.9742021314e-03,1.0788866008e-02,1.4163589591e-03,1.8652778625e+02,1.8603149414e+02,1.8747184753e+02,1.8652778864e+00,1.8603149652e+00,1.8747185469e+00,1.1032498442e-02,1.2388848700e-02,8.9452508837e-03
50,1.8519400533e+02,5.9105437694e-01,2.2676247144e+00,1.3852758583e-03,1.8519400756e+00,5.9105692212e-03,1.1983216430e-02,1.4274402717e-03,1.8504504395e+02,1.8455618286e+02,1.8598078918e+02,1.8504503965e+00,1.8455618620e+00,1.8598079681e+00,1.2188974768e-02,1.3619482517e-02,1.0141192004e-02
