replica,seed,runtime_sec,final_loss,estimated_convergence_step,cosine_similarity
1,100,35.9591,1.0435612202e+00,,3.0479095876e-02
2,101,35.9189,1.6116896868e+00,,5.2115384489e-02
3,102,35.9413,1.7981106043e+00,11,1.0649356246e-01
