step,loss_mean,loss_std,log10_loss_mean,log10_loss_std,clean_loss_mean,clean_loss_std,log10_clean_loss_mean,log10_clean_loss_std,cosine_similarity_mean,cosine_similarity_std,loss_replica_1,clean_loss_replica_1,cosine_similarity_replica_1
24,3.6943321228e+05,0.0000000000e+00,5.5675359362e+00,0.0000000000e+00,3.6930193901e+05,0.0000000000e+00,5.5673815879e+00,0.0000000000e+00,8.2765789703e-03,0.0000000000e+00,3.6943321228e+05,3.6930193901e+05,8.2765789703e-03
25,3.6410584450e+05,0.0000000000e+00,5.5612276501e+00,0.0000000000e+00,3.6397662163e+05,0.0000000000e+00,5.5610734896e+00,0.0000000000e+00,9.8536210135e-03,0.0000000000e+00,3.6410584450e+05,3.6397662163e+05,9.8536210135e-03
26,3.5809192657e+05,0.0000000000e+00,5.5539945297e+00,0.0000000000e+00,3.5796515942e+05,0.0000000000e+00,5.5538407590e+00,0.0000000000e+00,1.1665491387e-02,0.0000000000e+00,3.5809192657e+05,3.5796515942e+05,1.1665491387e-02
27,3.5134112835e+05,0.0000000000e+00,5.5457289917e+00,0.0000000000e+00,3.5121705532e+05,0.0000000000e+00,5.5455755974e+00,0.0000000000e+00,1.3739711605e-02,0.0000000000e+00,3.5134112835e+05,3.5121705532e+05,1.3739711605e-02
28,3.4380440712e+05,0.0000000000e+00,5.5363114395e+00,0.0000000000e+00,3.4368350506e+05,0.0000000000e+00,5.5361586889e+00,0.0000000000e+00,1.6106601804e-02,0.0000000000e+00,3.4380440712e+05,3.4368350506e+05,1.6106601804e-02
29,3.3543586731e+05,0.0000000000e+00,5.5256094988e+00,0.0000000000e+00,3.3531854153e+05,0.0000000000e+00,5.5254575685e+00,0.0000000000e+00,1.8799493089e-02,0.0000000000e+00,3.3543586731e+05,3.3531854153e+05,1.8799493089e-02
30,3.2619423866e+05,0.0000000000e+00,5.5134762861e+00,0.0000000000e+00,3.2608094215e+05,0.0000000000e+00,5.5133254171e+00,0.0000000000e+00,2.1854931489e-02,0.0000000000e+00,3.2619423866e+05,3.2608094215e+05,2.1854931489e-02
31,3.1604518890e+05,0.0000000000e+00,5.4997491835e+00,0.0000000000e+00,3.1593644619e+05,0.0000000000e+00,5.4995997287e+00,0.0000000000e+00,2.5312876329e-02,0.0000000000e+00,3.1604518890e+05,3.1593644619e+05,2.5312876329e-02
32,3.0496456623e+05,0.0000000000e+00,5.4842493817e+00,0.0000000000e+00,3.0486092567e+05,0.0000000000e+00,5.4841017640e+00,0.0000000000e+00,2.9216799885e-02,0.0000000000e+00,3.0496456623e+05,3.0486092567e+05,2.9216799885e-02
33,2.9294199944e+05,0.0000000000e+00,5.4667816415e+00,0.0000000000e+00,2.9284405708e+05,0.0000000000e+00,5.4666364150e+00,0.0000000000e+00,3.3613562584e-02,0.0000000000e+00,2.9294199944e+05,2.9284405708e+05,3.3613562584e-02
34,2.7998592854e+05,0.0000000000e+00,5.4471362052e+00,0.0000000000e+00,2.7989444733e+05,0.0000000000e+00,5.4469942828e+00,0.0000000000e+00,3.8553144783e-02,0.0000000000e+00,2.7998592854e+05,2.7989444733e+05,3.8553144783e-02
35,2.6612925529e+05,0.0000000000e+00,5.4250926187e+00,0.0000000000e+00,2.6604487896e+05,0.0000000000e+00,5.4249549037e+00,0.0000000000e+00,4.4088035822e-02,0.0000000000e+00,2.6612925529e+05,2.6604487896e+05,4.4088035822e-02
36,2.5143625736e+05,0.0000000000e+00,5.4004279036e+00,0.0000000000e+00,2.5135982037e+05,0.0000000000e+00,5.4002958573e+00,0.0000000000e+00,5.0272051245e-02,0.0000000000e+00,2.5143625736e+05,2.5135982037e+05,5.0272051245e-02
37,2.3601055145e+05,0.0000000000e+00,5.3729314196e+00,0.0000000000e+00,2.3594295979e+05,0.0000000000e+00,5.3728070231e+00,0.0000000000e+00,5.7158686221e-02,0.0000000000e+00,2.3601055145e+05,2.3594295979e+05,5.7158686221e-02
38,2.2000315189e+05,0.0000000000e+00,5.3424289028e+00,0.0000000000e+00,2.1994524002e+05,0.0000000000e+00,5.3423145676e+00,0.0000000000e+00,6.4798735082e-02,0.0000000000e+00,2.2000315189e+05,2.1994524002e+05,6.4798735082e-02
39,2.0362050533e+05,0.0000000000e+00,5.3088215109e+00,0.0000000000e+00,2.0357327461e+05,0.0000000000e+00,5.3087207626e+00,0.0000000000e+00,7.3236994445e-02,0.0000000000e+00,2.0362050533e+05,2.0357327461e+05,7.3236994445e-02
40,1.8713096380e+05,0.0000000000e+00,5.2721456544e+00,0.0000000000e+00,1.8709540367e+05,0.0000000000e+00,5.2720631184e+00,0.0000000000e+00,8.2508154213e-02,0.0000000000e+00,1.8713096380e+05,1.8709540367e+05,8.2508154213e-02
41,1.7086784840e+05,0.0000000000e+00,5.2326603507e+00,0.0000000000e+00,1.7084497213e+05,0.0000000000e+00,5.2326022023e+00,0.0000000000e+00,9.2632099986e-02,0.0000000000e+00,1.7086784840e+05,1.7084497213e+05,9.2632099986e-02
42,1.5522662401e+05,0.0000000000e+00,5.1909662122e+00,0.0000000000e+00,1.5521737337e+05,0.0000000000e+00,5.1909403299e+00,0.0000000000e+00,1.0360907018e-01,0.0000000000e+00,1.5522662401e+05,1.5521737337e+05,1.0360907018e-01
43,1.4065384865e+05,0.0000000000e+00,5.1481516201e+00,0.0000000000e+00,1.4065921307e+05,0.0000000000e+00,5.1481681834e+00,0.0000000000e+00,1.1541513354e-01,0.0000000000e+00,1.4065384865e+05,1.4065921307e+05,1.1541513354e-01
44,1.2762471437e+05,0.0000000000e+00,5.1059347831e+00,0.0000000000e+00,1.2764558792e+05,0.0000000000e+00,5.1060058080e+00,0.0000000000e+00,1.2800048292e-01,0.0000000000e+00,1.2762471437e+05,1.2764558792e+05,1.2800048292e-01
